S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3019376.0,M/S. BALIYARSINGH ELECTRICAL ENGINEERING & CONSTRUCTION,INR,"456,350",Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,01-Aug-2025 06:58 PM,finance_547103.pdf,BOQ Comparative Chart,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,21-Nov-2025 03:04 PM,finsummary_547103.pdf (1147.56 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_115902_16,BID NO-1910/2025-26 DT.19.07.2025,REVIVAL AND RE-ENERGISATION (REINFORCEMENT) OF NARUDA LIP UNDER NIMAPARA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,EXECUTIVE ENGINEER,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,21-Nov-2025 03:02 PM,techsummary_547103.pdf (1147.56 KB),1,3018727,AGRAWALLA POWER INFRASTRUCTURE,31-Jul-2025 01:48 PM,Rejected-Technical,Rejected,21-Nov-2025 03:02 PM,21-Nov-2025,"INR 456,350",60.0,SUJIT KUMAR MOHANTY,21-Nov-2025 03:06 PM,naruda.pdf (1148.00 KB),Work order and agreement completed,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,"4,720",0.0,Nil,Nil,No,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-1910/2025-26 DT.19.07.2025,2025_OLIC_115902_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,REVIVAL AND RE-ENERGISATION (REINFORCEMENT) OF NARUDA LIP UNDER NIMAPARA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION (REINFORCEMENT) OF NARUDA LIP UNDER NIMAPARA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,Please Refer Tender Documents ,NA ,"4,56,350",Civil Works - Lift Irrigation Schemes,NA ,Tender,60.0,60.0,NIMAPADA,752001.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,1.0,ICICI BANK,24-Jul-2025 10:00 AM,01-Aug-2025 11:00 AM,24-Jul-2025 10:00 AM,31-Jul-2025 05:00 PM,24-Jul-2025 10:00 AM ,31-Jul-2025 05:00 PM ,24-Jul-2025 10:00 AM,31-Jul-2025 05:00 PM,EE LI DIVISION BHUBANESWAR,EE LI DIVISION BHUBANESWAR,"4,564",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3019335,ASHOK PANI,31-Jul-2025 03:04 PM,Rejected-Technical,Rejected,21-Nov-2025 03:02 PM,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3019268,GAUTAM BEHERA,31-Jul-2025 02:07 PM,Rejected-Technical,Rejected,21-Nov-2025 03:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3019376,M/S. BALIYARSINGH ELECTRICAL ENGINEERING & CONSTRUCTION,31-Jul-2025 03:54 PM,Accepted-AOC,Work order and agreement completed,21-Nov-2025 03:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3019151,RAJESH KUMAR SAHOO,31-Jul-2025 01:07 PM,Rejected-Technical,Rejected,21-Nov-2025 03:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
