S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage
1.0,2651885.0,RAJAT MOHAPATRA,INR,"86,524,564",EIC-CIVIL||SERNB-CIRCLE-JEYPORE,2024_EICCL_106299_2,CCEJC R AND B 06/2024-25,Construction of H.L. Bridge over river Nuagaon-Kundra via Kusumi road at 7-990Km. in the District of Koraput under State Plan for the year 2024-25,Technical,ABOVE BIDDERS ARE PROVISIONALLY QUALIFIED FOR TECHNICAL EVALUATION.,Subhendu Subhadarsan Dash,22-Nov-2024 06:13 PM,technical_513975.pdf,BISWANATH MARNDI,Internal,,Biswanath Marndi,20-Aug-2025 05:12 PM,finsummary_513975.pdf (2474.82 KB),NIHAR RANJAN BEHERA,Internal,Sri Kshirdhara Khandapani S.E Jeypore and DAO Jeypore R and B Division Er Ashok Kumar Behera A.E.E. I. C. Jeypore R and B Circle.,Subhendu Subhadarsan Dash,11-Dec-2024 04:29 PM,11-Dec-2024 05:00 PM,techsummary_513975.pdf (339.99 KB),Finance,Price bid of the above bidders Downloaded.,Subhendu Subhadarsan Dash,13-Dec-2024 11:11 AM,finance_513975.pdf,BOQ Comparative Chart,21-Nov-2025,"INR 86,524,564",540.0,Biswanath Marndi,21-Nov-2025 12:26 PM,KUSUMI.pdf (1040.00 KB),FIRST LOWEST BID OF SRI RAJAT MOHAPATRA,1,2648798,MANOJ KUMAR SAHOO,16-Nov-2024 06:03 PM,Rejected-Finance,THIRD LOWEST BIDDER,20-Aug-2025 05:12 PM,AOC,"10,000",0.0,Nil,Nil,No,Construction of H.L. Bridge over river Nuagaon-Kundra via Kusumi road at 7-990Km. in the District of Koraput under State Plan for the year 2024-25,CIVIL WORK,Please refer Tender documents. ,NA ,"9,61,27,724",Civil Works - Bridges,HL BRIDGE ,Tender,90.0,540.0,JEYPORE,764001.0,NA ,NA ,NA ,O/O C.C.E R and B Circle Jeypore,No ,No,04-Nov-2024 11:00 AM,19-Nov-2024 10:00 AM,04-Nov-2024 11:00 AM,18-Nov-2024 05:00 PM,NA ,NA ,04-Nov-2024 11:00 AM,18-Nov-2024 05:00 PM,11-Dec-2024 05:00 PM,"9,61,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GST Registration Certificate and GSTIN, PAN, Contractor RC",EIC-CIVIL||SERNB-CIRCLE-JEYPORE,CCEJC R AND B 06/2024-25,2024_EICCL_106299_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,CHIEF CONSTRUCTION ENGINEER,Chief Construction Engineer Jeypore R and B circle Jeypore,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2644963,M/S GUPTESWAR CONSTRUCTION,16-Nov-2024 05:01 PM,Rejected-Finance,FORTH LOWEST BIDDER,20-Aug-2025 05:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Undertakings and Other Documents as per SBD/DTCN,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2651742,MS SANDHYA CONSTRUCTION,18-Nov-2024 04:46 PM,Rejected-AOC,SECOND LOWEST BIDDER,21-Nov-2025 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2651749,M/s Tara Tarini Constructions Pvt. Ltd.,18-Nov-2024 03:52 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN LOTTERY BUT DID NOT SELECTED,21-Nov-2025 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2651885,RAJAT MOHAPATRA,18-Nov-2024 03:41 PM,Accepted-AOC,FIRST LOWEST BIDDER SELECTED THROUGH TRANSPARENT LOTTERY SYSTEM,21-Nov-2025 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2649683,SHANTI CONSTRUCTION SAMBALPUR PVT. LTD.,18-Nov-2024 12:52 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN LOTTERY BUT DID NOT SELECTED,21-Nov-2025 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2649915,SUSHRITA MISHRA,18-Nov-2024 04:22 PM,Rejected-AOC,FIRST LOWEST BIDDER PARTICIPATED IN LOTTERY BUT DID NOT SELECTED,21-Nov-2025 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
