S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3002297.0,RAGHUNANDAN SAHU,INR,"2,659,071",Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Raygada,2025_OSCSC_115124_1,1434_09/03.07.2025,Selection and Appointment of Level-II Transport Contractor for Transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) to Retail Centre (FPS) for Padmapur Block of Rayagada District,Technical,Proceedings of Technical Bid,Dasarathi Soren,24-Jul-2025 06:53 PM,technical_545094.pdf,Collector,Internal,DLO-DSWO_RTO_CCSO,Dasarathi Soren,27-Nov-2025 02:12 PM,finsummary_545094.pdf (136.93 KB),Collector,Internal,"DLO,RTO,DSWO,CCSOcumDM,ADM(Gen)",Dasarathi Soren,24-Jul-2025 07:15 PM,29-Jul-2025 11:00 AM,techsummary_545094.pdf (367.63 KB),Finance,L1 Bidder Selected.,Dasarathi Soren,27-Nov-2025 01:44 PM,finance_545094.pdf,BOQ Comparative Chart,1,2999891,HARI KRISHNA RAO VAJRAPU,21-Jul-2025 04:07 PM,Not Admitted-Finance,Not qualified for AOC,27-Nov-2025 01:44 PM,27-Nov-2025,"INR 2,659,071",608.0,Dasarathi Soren,27-Nov-2025 02:31 PM,2246.pdf (137.00 KB),AOC,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Raygada,1434_09/03.07.2025,2025_OSCSC_115124_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1.0,Modification of Clauses,Other,,"1,32,954",No,fixed,,Nil,Nil,Selection and Appointment of Level-II Transport Contractor for Transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) to Retail Centre (FPS) for Padmapur Block of Rayagada District,Transport Contractor for Transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) to Retail Centre (FPS) for Padmapur Block of Rayagada District,Please refer Tender documents. ,NA ,"26,59,071",Handling and Transportation,Level-II Transportation ,Tender,180.0,608.0,Padmapur Block of Rayagada District,765001.0,"Meeting Hall of CSO-cum-DM, OSCSC Ltd., Rayagada ","Office of CCSO-cum-District Manager, OSCSC Ltd., Rayagada, Collectorate Campus, Rayagada. ",07-Jul-2025 11:00 AM ,"Collectorate, Rayagada",No ,No,05-Jul-2025 09:00 AM,22-Jul-2025 11:00 AM,05-Jul-2025 09:00 AM,21-Jul-2025 05:30 PM,05-Jul-2025 09:00 AM ,06-Jul-2025 05:30 PM ,05-Jul-2025 09:00 AM,21-Jul-2025 05:30 PM,29-Jul-2025 11:00 AM,1,Fee/PreQual/Technical,.pdf,Technical Bid Document,1,ICICI BANK,"CCSO-cum-District Manager, OSCSC Ltd., Rayagada","Office of CCSO-cum-District Manager, OSCSC Ltd., Rayagada, Collectorate Campus, Rayagada.","5,900",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3002297,RAGHUNANDAN SAHU,20-Jul-2025 01:13 PM,Accepted-AOC,Appointed,27-Nov-2025 02:31 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid BoQ,2,ICICI NEFT/RTGS,,,,,,,,AOC
