S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2811556.0,MALAYA KETAN SWAIN,INR,"7,080,066","CE,Drainage,Cuttack||SE,Drainage,Cuttack",2025_CEDC_109904_1,EE-DD-CTC-06/ 2024-25 / EE-DD-CTC-15/2024-25,Improvement to Katarpada Drainage Cut along with Construction of farm land bridge near Purusottampur village under Mahanga Block.,Finance,"TRANSPARENT LOTTERY WILL BE HELD ON 27.02.2025 AT 11.30 AM AND ONWARDS IN THE O/o the Executive Engineer,Drainage Division,CTC",Satyajit Nayak,25-Feb-2025 11:36 AM,finance_527609.pdf,BOQ Comparative Chart,1,2816146,ADITYA KUMAR DAS,13-Feb-2025 04:16 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,Technical,opng summary,Satyajit Nayak,21-Feb-2025 06:39 PM,technical_527609.pdf,11-Mar-2025,"INR 8,328,509",180.0,Alisha Priyadarsini,15-Nov-2025 12:58 PM,AocofKatarpadaDC.pdf (2631.00 KB),Award of Contract,SOURAV KUMAR SAHOO,Internal,"Executive Engineer, Asst. Executive Engineer, DAO and Assistant Engineer",Satyajit Nayak,11-Mar-2025 02:43 PM,finsummary_527609.pdf (10911.00 KB),AOC,"CE,Drainage,Cuttack||SE,Drainage,Cuttack",EE-DD-CTC-06/ 2024-25 / EE-DD-CTC-15/2024-25,2025_CEDC_109904_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,29-Jan-2025 11:00 AM,14-Feb-2025 11:30 AM,29-Jan-2025 11:00 AM,13-Feb-2025 06:00 PM,29-Jan-2025 11:00 AM ,06-Feb-2025 06:00 PM ,29-Jan-2025 11:00 AM,13-Feb-2025 06:00 PM,24-Feb-2025 11:30 AM,"83,300",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, RC, PAN, Valid GST, Affidavit and Other documents as per DTCN.",1.0,ICICI BANK,Executive Engineer,"O/o the Executive Engineer, Drainage Division, Cuttack",Improvement to Katarpada Drainage Cut along with Construction of farm land bridge near Purusottampur village under Mahanga Block.,Improvement to Katarpada Drainage Cut along with Construction of farm land bridge near Purusottampur village under Mahanga Block.,Please refer Tender documents. ,NA ,"83,28,509",Civil Works - Others,NA ,Tender,90.0,180.0,Mahanga Block,754206.0,NA ,NA ,NA ,"O/o the EE, Drainage Division, Cuttack",No ,No,AOC
,,,,,,,,,,,,,,,2,2811449,ANNADA PRASANNA OJHA,11-Feb-2025 10:00 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2812830,ASESH NAYAK,12-Feb-2025 01:18 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2815465,Ashutosh Patra,13-Feb-2025 01:51 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2806610,AURODEEP ROUT,10-Feb-2025 11:16 AM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2814500,BHABANI PRASAD NAYAK,12-Feb-2025 09:35 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2811276,BISWAJIT BEHERA,13-Feb-2025 12:30 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2815765,CHITRASEN DAS,13-Feb-2025 02:22 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2803808,DEBANANDA DAS,08-Feb-2025 01:20 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2793421,DEBASHISH DAS,02-Feb-2025 05:40 PM,Rejected-Finance,LOSER IN TRANSPARENTLOTTERY,11-Mar-2025 02:43 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
