Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Finance,Received,Gayatri Patel,25-Sep-2024 06:12 PM,,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-III-BBSR,2024_EICCL_104876_12,eTCN-13 of 2024-25,Spl.Repair to Road from 100ft. wide Master Plan Road from City Women College to Jagamara from ch. 0.00km to 0.150km for the year 2024-25 Such as providing BM in patches renewal coat with SDBC and Thermoplastic painting,1.0,2551882.0,JYOTI KANTA PARIDA,INR,"1,068,900",1,2553437,BENU DHAR PANI,23-Sep-2024 12:05 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,15-Nov-2025,"INR 1,068,900",30.0,Narendra Kumar Ghadei,15-Nov-2025 12:02 PM,6437.pdf (1373.00 KB),Work awarded,Sri N.K.Ghadai S.E.,Internal,Sri S.K.Mishra Sr.D.A.O S.K.Beura AE Estimator,Narendra Kumar Ghadei,15-Nov-2025 11:54 AM,techsummary_506737.pdf (1372.80 KB),Sri N.K.Ghadai S.E.,Internal,Sri S.K.Mishra Sr.D.A.O Sri S.K.Beura AE Estimator,Narendra Kumar Ghadei,15-Nov-2025 11:59 AM,finsummary_506737.pdf (1372.80 KB),AOC,O.O.S.E.BBSR RandB Divn No.3 BBSR,In front of Nimrman Soudha Unit 5 Bhubaneswar Dist Khordha Odisha,13-Sep-2024 05:50 PM,24-Sep-2024 11:30 AM,13-Sep-2024 05:50 PM,23-Sep-2024 05:30 PM,NA ,NA ,13-Sep-2024 05:50 PM,23-Sep-2024 05:30 PM,"6,000",0.0,Nil,Nil,No,Spl.Repair to Road from 100ft. wide Master Plan Road from City Women College to Jagamara from ch. 0.00km to 0.150km for the year 2024-25 Such as providing BM in patches renewal coat with SDBC and Thermoplastic painting,Spl.Repair to Road from 100ft. wide Master Plan Road from City Women College to Jagamara from ch. 0.00km to 0.150km for the year 2024-25 Such as providing BM in patches renewal coat with SDBC and Thermoplastic painting,Pl refer DTCN ,NA ,"12,57,381",Civil Works - Roads,Road works ,Tender,90.0,30.0,Bhubaneswar,751001.0,NA ,NA ,NA ,S.E.BBSR RandB Divn No.3,No ,No,"12,574",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"On line proof copy of Tender cost and EMD, GSTIN, PAN, RC and Affidavit as per DTCN",EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-III-BBSR,eTCN-13 of 2024-25,2024_EICCL_104876_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2556796,CHINMAYA PAIKARAY,23-Sep-2024 12:15 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2556621,HIMANSU SEKHAR PRADHAN,23-Sep-2024 12:09 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2551882,JYOTI KANTA PARIDA,20-Sep-2024 03:44 PM,Accepted-AOC,Qualified through transparent lottery,15-Nov-2025 12:02 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2554518,Kailas Chandra Dalei,23-Sep-2024 02:54 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2557598,KAMALAKANTA MISHRA,23-Sep-2024 04:54 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2557658,KHYANAPRAVA SETHI,23-Sep-2024 04:29 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2555041,M/s BISWORANJAN DASH,21-Sep-2024 07:04 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2551923,PARTHA PRITAM PARIDA,20-Sep-2024 01:56 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2556095,SANTOSINI PANDA,22-Sep-2024 08:49 PM,Rejected-Finance,Disqualified through transparent lottery,15-Nov-2025 11:59 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
