S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,ICICI BANK,Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Bhanjanagar,SE RWSS BNJ_29 OF 21-22,2021_RWSS_70633_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,28-Aug-2021 09:00 AM,06-Sep-2021 11:00 AM,28-Aug-2021 09:00 AM,04-Sep-2021 05:00 PM,28-Aug-2021 09:00 AM ,03-Sep-2021 05:00 PM ,28-Aug-2021 09:00 AM,04-Sep-2021 05:00 PM,"6,000",0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,SE RWSS DIVISION BHANJANAGAR,SE RWSS DIVISION BHANJANAGAR,PWS TO VILLAGE BIRIPADAR UNDER BHANJANAGAR BLOCK,PWS TO VILLAGE BIRIPADAR UNDER BHANJANAGAR BLOCK,PWS TO VILLAGE BIRIPADAR UNDER BHANJANAGAR BLOCK  ,NA ,"17,64,867",Civil Works - Water Works,NA ,Tender,90.0,120.0,Bhanjanagar,761126.0,NA ,NA ,NA ,0/0 SE RWSS DIVISION BHANJANAGAR,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,COST OF BID DOCUMENT VALID CONTRACTOR LICENCE GSTN PAN WORK EXPERIENCE TURN OVER AS PER DTCN,AOC,Finance,Two bidder have participated in the tender,khadal Gouda,08-Sep-2021 10:38 AM,,BOQ Comparative Chart,1,1634434,JUDHISTER MALIK,04-Sep-2021 08:18 AM,Accepted-AOC,Sri Judhister Malik has 1st lowest bidder and awarded the work,23-Nov-2025 11:55 AM,EE RWSS Division Bhanjanagar,Internal,,Nihar Ranjan Swain,23-Nov-2025 11:41 AM,techsummary_364600.pdf (317.73 KB),23-Nov-2025,"INR 1,835,286",120.0,Nihar Ranjan Swain,23-Nov-2025 11:55 AM,BiripadarWO.pdf (275.00 KB),Sri Judhister Malik has awarded the work,1.0,1634434.0,JUDHISTER MALIK,INR,"1,835,286",EE RWSS Division Bhanjanagar,Internal,,Nihar Ranjan Swain,23-Nov-2025 11:45 AM,finsummary_364600.pdf (317.73 KB),Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Bhanjanagar,2021_RWSS_70633_3,SE RWSS BNJ_29 OF 21-22,PWS TO VILLAGE BIRIPADAR UNDER BHANJANAGAR BLOCK,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,2,1634421,SANTOSH KUMAR BEHERA,04-Sep-2021 08:42 AM,Rejected-AOC,2nd lowest bidder,23-Nov-2025 11:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
