S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3098354.0,BASANTA KUMAR SAHOO,INR,"428,647.89",Finance,"12 Nos of Bidders are participated, all documents are download and go to further process",Sujata Behera,20-Nov-2025 10:50 AM,finance_553040.pdf,BOQ Comparative Chart,"superintending Engineer,R.W.Division-II,Balasore",Internal,DAO and Estimators,Sujata Behera,20-Nov-2025 11:36 AM,finsummary_553040.pdf (412.86 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,2025_CERWI_118229_1,ETCN5-7,42/6381-S/R to R.I. Office Building at Sanajaypur for 2025-26,"superintending Engineer,R.W.Division-II,Balasore",Internal,DAO and Estimators,Sujata Behera,20-Nov-2025 11:11 AM,techsummary_553040.pdf (412.86 KB),20-Nov-2025,"INR 428,647.89",30.0,Sujata Behera,20-Nov-2025 11:56 AM,7.pdf (413.00 KB),1,3104250,AJIT KUMAR SWAIN,01-Oct-2025 12:00 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,Divisional Officer,"RURAL WORKS DIVISION NO.II, BALASORE",1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P Cost, EMD Online, RC, PAN, GSTIN, Affidavit, NRC, Bid Declaration and Other doc. as per DTCN","4,000",0.0,Nil,Nil,No,42/6381-S/R to R.I. Office Building at Sanajaypur for 2025-26,42/6381-S/R to R.I. Office Building at Sanajaypur for 2025-26,NA ,NA ,"5,04,232",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BALASORE",No ,No,1.0,ICICI BANK,19-Sep-2025 05:00 PM,06-Oct-2025 11:00 AM,19-Sep-2025 05:00 PM,04-Oct-2025 05:00 PM,19-Sep-2025 05:00 PM ,04-Oct-2025 03:00 PM ,19-Sep-2025 05:00 PM,04-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,ETCN5-7,2025_CERWI_118229_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,042",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3098354,BASANTA KUMAR SAHOO,24-Sep-2025 12:57 PM,Accepted-AOC,Awarded through lottery winner,20-Nov-2025 11:56 AM,AOC,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3107003,CHITTA RANJAN MOHAPATRA,03-Oct-2025 01:49 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3109360,GITA RANI SAHOO,04-Oct-2025 03:55 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3105554,JAYADRATH SHIAL (SC),03-Oct-2025 05:59 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3098304,JYOTSNARANI KANUNGO,24-Sep-2025 09:36 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3106565,MAA TARINI FABRICATION,04-Oct-2025 01:04 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3107911,RABINDRA KUMAR ROUT,03-Oct-2025 05:28 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3107375,Radheshyam Panda,03-Oct-2025 02:52 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3107867,Shyam Sundar Mohanty,03-Oct-2025 05:21 PM,Rejected-AOC,Rejected,20-Nov-2025 11:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
