Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,05-Jul-2025 05:00 PM,21-Jul-2025 11:30 AM,05-Jul-2025 05:00 PM,19-Jul-2025 05:00 PM,05-Jul-2025 05:00 PM ,18-Jul-2025 05:00 PM ,05-Jul-2025 05:00 PM,19-Jul-2025 05:00 PM,08-Sep-2025 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GST,EPF and latest challan,Experience,Turnover,Affidavits and all Other document as per DTCN.","Construction of black top bituminous Road of RoW 12mtr for a length of 420mtr with 3nos. of single row 900 dia. NP-4 Hume pipe Culvert including 420mtr RCC Drain (one side) at Kholadwar Industrial Area, Khurda, Odisha.","Construction of black top bituminous Road of RoW 12mtr for a length of 420mtr with 3nos. of single row 900 dia. NP-4 Hume pipe Culvert including 420mtr RCC Drain (one side) at Kholadwar Industrial Area, Khurda, Odisha.",Please refer Tender documents. ,NA ,"1,55,17,734",Civil Works - Roads,"Road, Drain and Culvert ",Tender,90.0,180.0,"Kholadwar Industrial Area, Khurda, Odisha.",752055.0,NA ,NA ,NA ,"IDCO, TOWERS, JANPATH, BHUBANESWAR-751022",No ,No,"1,55,180",Yes,fixed,,Nil,Nil,Chief General Manager (Planning and Coordination),"Chief General Manager (Planning and Coordination), IDCO, TOWERS, JANPATH, BHUBANESWAR-751022",IDCO||IDCO||IDCO,PC/EST/E-24/2025-26,2025_IDCO_115146_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,26-Nov-2025,"INR 13,191,626",180.0,Debapriya Tripathy,26-Nov-2025 12:18 PM,Agreement.pdf (4266.00 KB),"The Agreement made by D.H. MSME-II, vide Agreement No.51/P-1/2025-26, dt.15.11.2025.",CGM PC,Internal,,Debapriya Tripathy,26-Nov-2025 11:48 AM,finsummary_545132.pdf (3342.97 KB),Technical,The technical bids of 17 nos. bidder have been opened and documents downloaded successfully.,Debapriya Tripathy,21-Jul-2025 12:19 PM,technical_545132.pdf,1,3000822,ABHISEK SINGH SAMANTA,16-Jul-2025 02:08 PM,Rejected-AOC,L-1 Bidder,26-Nov-2025 12:18 PM,Finance,The financial bids of 15 nos. bidder have been opened and Comparative Statement have been generated.,Debapriya Tripathy,08-Sep-2025 12:04 PM,finance_545132.pdf,BOQ Comparative Chart,IDCO||IDCO||IDCO,2025_IDCO_115146_1,PC/EST/E-24/2025-26,"Construction of black top bituminous Road of RoW 12mtr for a length of 420mtr with 3nos. of single row 900 dia. NP-4 Hume pipe Culvert including 420mtr RCC Drain (one side) at Kholadwar Industrial Area, Khurda, Odisha.",1.0,3003773.0,MITALI MAHAPATRA,INR,"13,191,626",CGM PC,Internal,"DH MSME-II, Accounts Officer, SE PC",Debapriya Tripathy,01-Sep-2025 05:13 PM,08-Sep-2025 11:30 AM,techsummary_545132.pdf (269.38 KB),AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2993783,AMRIT BARAL,09-Jul-2025 06:17 AM,Rejected-AOC,L-1 Bidder,26-Nov-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3002158,BICHITRANANDA SAMANTARAY,17-Jul-2025 01:18 PM,Rejected-AOC,L-1 Bidder,26-Nov-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3003907,DEBASIS SRICHANDAN,19-Jul-2025 12:26 PM,Rejected-Technical,Disqualified,01-Sep-2025 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3002146,DILLIP KUMAR SWAIN,17-Jul-2025 01:24 PM,Rejected-AOC,L-1 Bidder,26-Nov-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2996071,Haresh Kumar Agrawal,12-Jul-2025 07:35 PM,Rejected-AOC,L-1 Bidder,26-Nov-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3003124,JIMENDRA KUMAR BEHERA,18-Jul-2025 01:48 PM,Rejected-AOC,L-1 Bidder,26-Nov-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3003773,MITALI MAHAPATRA,19-Jul-2025 11:28 AM,Accepted-AOC,Lottery winner/ L-1 Bidder,26-Nov-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2999713,M/s BIGYAN PARIDA,15-Jul-2025 06:00 PM,Rejected-AOC,L-1 Bidder,26-Nov-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3004203,P ATISH PRASAD,19-Jul-2025 03:46 PM,Rejected-AOC,L-1 Bidder,26-Nov-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
