S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,"2,000",0.0,Nil,Nil,No,05-Aug-2025 11:00 AM,19-Aug-2025 11:00 AM,05-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,05-Aug-2025 11:00 AM ,18-Aug-2025 05:00 PM ,05-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,Construction of cooling drinking water project at near Durga Mandap Chhak W.No-7,Construction of cooling drinking water project at near Durga Mandap Chhak W.No-7,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,120.0,NA ,Sonepur Municipality,767017.0,NA ,NA ,NA ,Sonepur Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,As Per DTCN,Municipal Bodies||Sonepur Municipal Council,SNP-MUN-30/2025-26,2025_ORULB_116406_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,359",Yes,fixed,,Nil,Nil,Executive Officer,Sonepur Municipality,AOC,11-Nov-2025,"INR 200,611.15",120.0,RUSI MAJHI,11-Nov-2025 11:43 AM,3WorkOrder.pdf (723.00 KB),As Per Tender Committee,1,3030764,RANJIT KUMAR RAY,13-Aug-2025 07:56 PM,Accepted-AOC,won the lottery,11-Nov-2025 11:43 AM,Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,11-Nov-2025 11:34 AM,techsummary_548221.pdf (1489.53 KB),Municipal Bodies||Sonepur Municipal Council,2025_ORULB_116406_3,SNP-MUN-30/2025-26,Construction of cooling drinking water project at near Durga Mandap Chhak W.No-7,Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,11-Nov-2025 11:39 AM,finsummary_548221.pdf (828.40 KB),Finance,As Per Tender Committee,RUSI MAJHI,19-Aug-2025 04:15 PM,finance_548221.pdf,BOQ Comparative Chart,1.0,3030764.0,RANJIT KUMAR RAY,INR,"200,611.15",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,As Per BoQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3039058,SARJAN BARIK,17-Aug-2025 12:44 PM,Rejected-Finance,lost the lottery,11-Nov-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
