S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of tender paper, EMD, PAN,GSTIN, Affidavit, Regd. Certificate, and other documents as per DTCN.","24,400",Yes,fixed,,Nil,Nil,PA ITDA RAyagada,PA ITDA RAyagada,"Construction 2 Nos. of Additional Class Room at Govt. (SSD) High School, Revolkona, G.P-Gadiseskhal, Block-Kolnara",Building works,Please refer Tender documents. ,NA ,"24,35,654",Civil Works - Buildings,NA ,Tender,90.0,90.0,Rayagada,765001.0,NA ,NA ,NA ,PA ITDA RAyagada,No ,No,ST and SC Development Deptt||ITDA Rayagada,ITDARGDA 02/2025-26,2025_STSCD_114473_7,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,16-Jun-2025 10:00 AM,27-Jun-2025 11:00 AM,16-Jun-2025 10:00 AM,26-Jun-2025 05:00 PM,16-Jun-2025 10:00 AM ,26-Jun-2025 05:00 PM ,16-Jun-2025 10:00 AM,26-Jun-2025 05:00 PM,AOC,24-Nov-2025,"INR 2,070,549",90.0,CHANDRAKANTA MAJHI,24-Nov-2025 12:51 PM,Work_Order_2_Nos_of_Additional_Class_Room_at_Revolkona.pdf (1015.00 KB),Letter No 2091 Dated 17-11-2025 of PA ITDA Rayagada,1,2979284,JANAKI KHARA,24-Jun-2025 06:21 PM,Rejected-AOC,1st Lowest,24-Nov-2025 12:52 PM,PAITDA,Internal,"JE AE AEE and PA, ITDA, Rayagada",CHANDRAKANTA MAJHI,24-Nov-2025 12:34 PM,techsummary_543152.pdf (280.21 KB),PAITDA,Internal,JE AE AEE and PA ITDA Rayagada,CHANDRAKANTA MAJHI,24-Nov-2025 12:42 PM,finsummary_543152.pdf (280.21 KB),ST and SC Development Deptt||ITDA Rayagada,2025_STSCD_114473_7,ITDARGDA 02/2025-26,"Construction 2 Nos. of Additional Class Room at Govt. (SSD) High School, Revolkona, G.P-Gadiseskhal, Block-Kolnara",1.0,2979120.0,MELAKA MANIKA RAO,INR,"2,070,549",Finance,Tender opened,CHANDRAKANTA MAJHI,24-Nov-2025 12:21 PM,finance_543152.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2979120,MELAKA MANIKA RAO,24-Jun-2025 01:47 PM,Accepted-AOC,1st Lowest selected through transparent lottery system being ST Contractor,24-Nov-2025 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2979966,NANDA KISHOR PRASAD CHOURASIA,25-Jun-2025 02:57 PM,Rejected-AOC,1st Lowest,24-Nov-2025 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2979991,RAINA KADRAKA,25-Jun-2025 03:28 PM,Rejected-AOC,1st Lowest,24-Nov-2025 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2980086,UMESH KUMAR JENA,25-Jun-2025 04:30 PM,Rejected-AOC,1st Lowest,24-Nov-2025 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
