EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,87,500",Yes,fixed,,Nil,Nil,"Additional CE, RB Basin, Berhampur","Office of the Additional CE, RB Basin Berhampur PIN 760004","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","ACE,RBB-13/2024-25",2025_CEBMB_111128_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,27-Feb-2025 10:00 AM,17-Mar-2025 11:30 AM,27-Feb-2025 10:00 AM,13-Mar-2025 05:00 PM,27-Feb-2025 10:00 AM ,10-Mar-2025 05:00 PM ,27-Feb-2025 10:00 AM,13-Mar-2025 05:00 PM,16-May-2025 11:30 AM,Improvement to RFB of river Badanadi near village Kamagada,Improvement to RFB of river Badanadi near village Kamagada,Please refer Tender documents. ,NA ,"6,87,12,451",Civil Works - Others,NA ,Tender,90.0,330.0,Aska,761110.0,NA ,NA ,NA ,"Office of the Additional CE, RB Basin, Berhampur",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Contractor RC",AOC,01-Nov-2025,"INR 58,412,455",330.0,Rajib Kumar Pandit,19-Nov-2025 01:32 PM,AOC.pdf (5901.00 KB),"Awarded to Sri Hara Gopal Patro, A class Engg. vide Agt No.338P1 of 2025-26 of Bhanjanagar Irr. Division, Bhanjanagar",1,2852316,CHIMAN KUMAR SAHU,12-Mar-2025 03:58 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,Finance,Downloaded Successfully,Rajib Kumar Pandit,03-Jul-2025 01:53 PM,,BOQ Comparative Chart,"Rajib Kumar Pandit, Additional Chief Engineerl",Internal,,Rajib Kumar Pandit,14-May-2025 05:49 PM,16-May-2025 11:30 AM,techsummary_531490.pdf (388.82 KB),"Rajib Kumar Pandit, Addl.CE",Internal,,Rajib Kumar Pandit,03-Jul-2025 03:53 PM,finsummary_531490.pdf (1280.99 KB),"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur",2025_CEBMB_111128_2,"ACE,RBB-13/2024-25",Improvement to RFB of river Badanadi near village Kamagada,Technical,Downloaded Successfully,Rajib Kumar Pandit,14-May-2025 05:42 PM,,1.0,2853272.0,HARA GOPAL PATRO,INR,"58,412,455",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit under taking, declaring no Relationship with Department officials",AOC,,,,,,,,2,2851486,Debendra Chandra Mohanty,12-Mar-2025 04:38 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,And any other documents as per SBD and DTCN.,AOC,,,,,,,,3,2851410,Girish Kumar Tripathy,13-Mar-2025 09:57 AM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,4,2851992,Hadubandhu Mohanty,13-Mar-2025 11:46 AM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2853272,HARA GOPAL PATRO,13-Mar-2025 12:20 PM,Accepted-AOC,Winner of lottery,19-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2849367,Krushna Prasad Swain,13-Mar-2025 11:38 AM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2848913,Lipsa Rani Patra,10-Mar-2025 01:58 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2849750,M/s Bajarangi Construction,12-Mar-2025 09:20 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2851124,Pabitra Kumar Muni,11-Mar-2025 07:53 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2845319,PADMALAYA INFRASTRUCTURE PVT. LTD.,05-Mar-2025 11:39 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
