S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3043270.0,INDIAN AGENCIES,22-Aug-2025 07:28 PM,Rejected-Technical,Sample not selected,17-Oct-2025 04:25 PM,GM(Finance),Internal,"Sr.Manager(CA)Legal, Sr.Manager(CP), DGM(Persnl)",Banita Kumari Patra,17-Oct-2025 04:25 PM,17-Oct-2025 04:40 PM,techsummary_547678.pdf (774.02 KB),GM(Fin),Internal,"Sr.Manager(CA)Legal,Sr.Manager(CP), DGM(Persnl)",Banita Kumari Patra,29-Nov-2025 10:55 AM,finsummary_547678.pdf (767.93 KB),Technical,Technical opening summary,Banita Kumari Patra,01-Sep-2025 05:55 PM,technical_547678.pdf,Orissa Mining Corporation,2025_OMC_116197_1,OMC/E-PROC/CP/009/2025-26 Dtd. 28/07/2025,"Supply of Cup with Saucer, Glass and Copper water bottle",1.0,3035713.0,MARUTI ASSOCIATES,INR,"4,005,188.4",Finance,Financial opening summary,Banita Kumari Patra,17-Oct-2025 05:48 PM,finance_547678.pdf,BOQ Comparative Chart,29-Nov-2025,"INR 4,005,188.4",90.0,Banita Kumari Patra,29-Nov-2025 11:01 AM,LOASummer2025.pdf (884.00 KB),Awarded for Cup with Saucer and Copper water bottle,AOC,1.0,ICICI BANK,"Supply of Cup with Saucer, Glass and Copper water bottle","Supply of Cup with Saucer, Glass and Copper water bottle",Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,180.0,90.0,"OMC Ltd., Bhubaneswar",751001.0,NA ,NA ,NA ,"OMC Ltd., OMC House, Bhubaneswar",No ,No,"5,900",0.0,Nil,Nil,Yes,"1,11,230",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"PAN,GSTIN and Other documents as per DTCN",1.0,Corrigendum 3,Date,,Head(Contract and Procurement),"OMC Ltd., OMC House, Bhubaneswar",Orissa Mining Corporation,OMC/E-PROC/CP/009/2025-26 Dtd. 28/07/2025,2025_OMC_116197_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,30-Jul-2025 11:30 AM,01-Sep-2025 05:00 PM,30-Jul-2025 11:30 AM,01-Sep-2025 03:00 PM,30-Jul-2025 11:30 AM ,05-Aug-2025 05:00 PM ,30-Jul-2025 11:30 AM,01-Sep-2025 03:00 PM,17-Oct-2025 04:40 PM,AOC
2.0,3035713.0,MARUTI ASSOCIATES,16-Aug-2025 07:37 PM,Accepted-AOC,Awarded for Cup with Saucer and copper water bottle,29-Nov-2025 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as per DTCN,2.0,Corrigendum 1,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,3038086.0,SNIGDHA STATIONERY & GENERAL ORDER SUPPLIER,19-Aug-2025 09:46 AM,Rejected-Technical,Techno-commercially Disqualified,17-Oct-2025 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Rate of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
