Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,On Opening the Bids total 10nos. of bids were found to be received online. Hence 10nos. of bids were found to be valid.,Nihar Ranjan Behera,21-Nov-2025 03:47 PM,finance_545622.pdf,BOQ Comparative Chart,1.0,3007939.0,Balabhadra Khillo,INR,"713,390","CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_115377_3,MIDJEY02/2025-26,Improvement to Gangamaguda MIP in Pottangi Block of Koraput District under ERM Grant 2024-25,Superintending Engineer,Internal,,Nihar Ranjan Behera,21-Nov-2026 07:23 PM,finsummary_545622.pdf (113.15 KB),Superintending Engineer,Internal,,Nihar Ranjan Behera,21-Nov-2025 03:52 PM,techsummary_545622.pdf (113.15 KB),21-Nov-2025,"INR 713,390",60.0,Nihar Ranjan Behera,21-Nov-2025 04:02 PM,Gangamagudaaoc.pdf (162.00 KB),Aoc,1,3004332,Babuli Sisa,19-Jul-2025 05:15 PM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY02/2025-26,2025_CEMIB_115377_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore",1.0,ICICI BANK,Improvement to Gangamaguda MIP in Pottangi Block of Koraput District under ERM Grant 2024-25,Improvement to Gangamaguda MIP in Pottangi Block of Koraput District under ERM Grant 2024-25,Please refer tender documents ,NA ,"8,39,183",Civil Works - Water Works,NA ,Tender,90.0,60.0,Pottangi,764039.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN GSTIN, License, Affidavit and as per DTCN","4,000",0.0,Nil,Nil,No,14-Jul-2025 10:00 AM,24-Jul-2025 11:00 AM,14-Jul-2025 10:00 AM,23-Jul-2025 05:00 PM,NA ,NA ,14-Jul-2025 10:00 AM,23-Jul-2025 05:00 PM,"8,400",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3007939,Balabhadra Khillo,22-Jul-2025 12:06 AM,Accepted-AOC,Accept,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3003453,Dasaratha Khillo,18-Jul-2025 11:16 PM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3003945,DEBABRATA ROUT,19-Jul-2025 12:40 PM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3009411,GANESH PRASAD PATTNAYAK,23-Jul-2025 09:41 AM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3009700,GHANASYAM BISOI,23-Jul-2025 02:04 PM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3008601,PINTU BISOI,22-Jul-2025 02:00 PM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3009062,PURUSOTTAM PANGI,22-Jul-2025 06:27 PM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3008534,SRIKANTA ACHARYA,22-Jul-2025 08:10 PM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3009695,SUSANTA KUMAR BANKA,23-Jul-2025 01:22 PM,Rejected-AOC,Reject,21-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
