EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"35,936",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Superintending Engineer,"Office of the Superintending Engineer, Sambalpur Irrigation Division, Sambalpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, GST, PAN, Contractor RC, Affidavit, Undertakings, Other document as per DTCN","6,000",0.0,Nil,Nil,No,Flood Works,Flood Protection to Right Bank Srigida Nallah near village Hinjamura under Naktideol Block for the year 2025-26.,As per DTCN ,NA ,"35,83,759",Civil Works - Others,NA ,Tender,90.0,180.0,Sabalpur,768106.0,NA ,NA ,NA ,"O/o the SE, SID, Sambalpur",No ,No,"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Sambalpur Irrigation Division Sambalpur",SESID-04(07)/2025-26,2025_CEBBU_118498_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Sep-2025 11:00 AM,09-Oct-2025 11:00 AM,24-Sep-2025 11:00 AM,08-Oct-2025 05:00 PM,24-Sep-2025 11:00 AM ,08-Oct-2025 05:00 PM ,24-Sep-2025 11:00 AM,08-Oct-2025 05:00 PM,AOC,Superintending Engineer,Internal,"Superintending Engineer, Accountant, AEE Estimator",Umakant Nayak,07-Nov-2025 01:13 PM,finsummary_553697.pdf (319.79 KB),"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Sambalpur Irrigation Division Sambalpur",2025_CEBBU_118498_1,SESID-04(07)/2025-26,Flood Works,1.0,3104115.0,BISWARANJAN PRADHAN,INR,"3,046,553",Finance,Tender Bid Opening Summary,Umakant Nayak,01-Nov-2025 01:10 PM,finance_553697.pdf,BOQ Comparative Chart,1,3115607,ABHILASH SAMAL,08-Oct-2025 11:00 AM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,11-Nov-2025,"INR 3,046,553",180.0,Umakant Nayak,11-Nov-2025 03:08 PM,WO_07.pdf (315.00 KB),"Sri Biswaranjan Pradhan is selected as winner of this tender through transparent lottery system. So, the work order may be issued in favour of Sri Biswaranjan Pradhan.",Superintending Engineer,Internal,"Superintending Engineer, Accountant, AEE Estimator",Umakant Nayak,01-Nov-2025 01:35 PM,techsummary_553697.pdf (319.79 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3112519,AJIT KERKETTA,08-Oct-2025 12:46 AM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3114836,AMAR KUMAR SINGH,07-Oct-2025 07:32 PM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3104047,ARUN KUMAR DEHURY,07-Oct-2025 08:49 PM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3113494,ASHOK KUMAR SAHOO,07-Oct-2025 12:42 PM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3107091,ASHUTOSH BADAMALI,03-Oct-2025 01:28 PM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3113453,BADRINATH BHOI,07-Oct-2025 07:39 PM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3104115,BISWARANJAN PRADHAN,06-Oct-2025 07:16 PM,Accepted-AOC,Selected as winner through transparent lottery system.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3116040,CHITTA RANJAN GARNAYAK,08-Oct-2025 12:41 PM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3108576,HARISHCHANDRA SAHOO,04-Oct-2025 07:31 AM,Rejected-AOC,Not selected.,11-Nov-2025 03:08 PM,,,,,,,,,,,,,,AOC
