Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Rourkela,Bid Identification no. 01 f 2025-26,2025_RWSS_114613_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"29,000",Yes,fixed,,Nil,Nil,Superintending Engineer RWSS Division Rourkela,Office of the Executive Engineer RWSS Division Rourkla,"6,000",0.0,Nil,Nil,No,Building Work,Construction of office building for RWSS Section Lahunipara under RWSS Division Rourkela,Please refer Tender documents. ,NA ,"28,21,067",Civil Works - Buildings,NA ,Tender,90.0,180.0,Lahunipara,770044.0,NA ,NA ,NA ,RWSS Division office Rourkela,No ,No,20-Jun-2025 10:00 AM,05-Jul-2025 11:00 AM,20-Jun-2025 10:00 AM,03-Jul-2025 06:00 PM,20-Jun-2025 10:00 AM ,01-Jul-2025 05:00 PM ,20-Jun-2025 10:00 AM,03-Jul-2025 06:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid registration certificate, GSTIN Registration, PAN",AOC,1.0,2984386.0,SUKADEV SAHOO,INR,"2,398,189",Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Rourkela,2025_RWSS_114613_1,Bid Identification no. 01 f 2025-26,Building Work,Er P P Naik,Internal,S K Chowdhary DAO B S Dandapat Estimator T Atti SDO Lahunipara S C Kisan SDO Rourkela,Bikash Singh Dandapat,24-Sep-2025 06:56 PM,techsummary_543655.pdf (459.09 KB),Er P P Naik,Internal,"S K Chowdhury DAO, T Atti AEE Lahunipara, BS Dandapat Estimator",Pragyan Parimita Naik,28-Oct-2025 01:47 PM,finsummary_543655.pdf (459.04 KB),Finance,Except Samir Nayak and Shiba Badaik all other agencies are quoted same rate S Nayak and S Badaik has submitted their willingness to execute the work in lowest quoted rate Lottery was conducted for finalization of agency,Bikash Singh Dandapat,24-Sep-2025 06:53 PM,finance_543655.pdf,BOQ Comparative Chart,28-Oct-2025,"INR 2,398,189",180.0,Pragyan Parimita Naik,15-Nov-2025 01:57 PM,WOLAHUNIPARA.pdf (669.00 KB),1,2985882,ANANDA KUMAR MAHANTA,01-Jul-2025 09:08 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, Works of similar nature, Plants and machineries, Affidavits",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2987080,LALMA BARLA,02-Jul-2025 08:33 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"All Schedules in desired format, undertaking, affidavits",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2987602,Maa Bhanbhori Constructions,03-Jul-2025 12:48 PM,Rejected-Technical,Work Experience not uploaded,24-Sep-2025 06:56 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2984751,NIKESWAR MAHANTA,01-Jul-2025 10:40 AM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2987819,PRASANTA KUMAR NAIK,03-Jul-2025 02:57 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2983311,SAMIR NAYAK,30-Jun-2025 09:34 AM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2987472,SARITA NAYAK,03-Jul-2025 11:48 AM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2987370,SHIBA BADAIK,03-Jul-2025 12:18 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2984386,SUKADEV SAHOO,30-Jun-2025 05:42 PM,Accepted-AOC,Won lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2984350,TAPAS KUMAR PANDA,30-Jun-2025 07:14 PM,Rejected-AOC,Lost lottery held on 11.09.2025,15-Nov-2025 01:57 PM,AOC
