Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Revival of defunct PHULBANDHAPALI-III L.I. Project under SONEPUR Block in SUBARNAPUR District (Sate Plan Fund),Revival of defunct PHULBANDHAPALI-III L.I. Project under SONEPUR Block in SUBARNAPUR District (Sate Plan Fund),Please refer Tender documents. ,NA ,"9,93,480",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Sonepur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-02/2025-26,2025_OLIC_112442_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, L.I. Division, Subarnapur","O/o the Executive Engineer, L.I. Division, Subarnapur","9,935",Yes,percentage,1.0%,Nil,Nil,15-Apr-2025 11:00 AM,23-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,22-Apr-2025 05:00 PM,15-Apr-2025 11:00 AM ,21-Apr-2025 05:00 PM ,15-Apr-2025 11:00 AM,22-Apr-2025 05:00 PM,"4,720",0.0,Nil,Nil,No,AOC,26-Nov-2025,"INR 993,479.61",90.0,CHANDRAMA PING,26-Nov-2025 07:47 AM,AOC.pdf (6685.00 KB),Success on Lottery System,1,2887845,BARCELONA KHUNTIA,18-Apr-2025 12:33 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Rejection due to Section-II, 2.2 (V) in DTCN",15-Oct-2025 09:53 PM,EE,Internal,EE and others,CHANDRAMA PING,25-Nov-2025 10:16 PM,techsummary_536308.pdf (6684.91 KB),EE,Internal,EE and others,CHANDRAMA PING,26-Nov-2025 07:44 AM,finsummary_536308.pdf (6684.91 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_112442_16,OLIC-SNP-02/2025-26,Revival of defunct PHULBANDHAPALI-III L.I. Project under SONEPUR Block in SUBARNAPUR District (Sate Plan Fund),1.0,2886512.0,RADHAKANTA MAHALIK,INR,"844,557",Finance,8 Nos. out of 10,CHANDRAMA PING,15-Oct-2025 09:53 PM,finance_536308.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2887179,Dukhanasana Sethi,22-Apr-2025 12:27 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2889331,KALYANI NANDA,20-Apr-2025 06:25 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2889255,MITA NAYAK,20-Apr-2025 11:39 AM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2887778,MS Shree Shyam and Co,19-Apr-2025 01:11 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2886974,Namita Sahu,21-Apr-2025 01:25 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Rejection due to Section-II, 2.2 (V) in DTCN",15-Oct-2025 09:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2887108,NANDA KISHOR BAGH,20-Apr-2025 01:03 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2891076,NANDI KISHOR BARIK,22-Apr-2025 09:41 AM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2886512,RADHAKANTA MAHALIK,18-Apr-2025 06:48 PM,Accepted-AOC,Success on Lottery System,26-Nov-2025 07:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2891733,TAPAS KUMAR KHATUA,22-Apr-2025 03:23 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 07:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
