EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"27,500",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,VALID RC PAN GSTIN AFFIDAVIT,1.0,ICICI BANK,Superintending Engineer,Office of the Superintending Engineer Paralakhemundi R and B Division,21-Aug-2025 10:00 AM,10-Sep-2025 12:00 PM,21-Aug-2025 10:00 AM,09-Sep-2025 05:00 PM,NA ,NA ,21-Aug-2025 10:00 AM,09-Sep-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN PARALAKHEMUNDI,SE-PKD-RandB-DIVN-06/2025-26,2025_EICCL_117140_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,S.R to Garabandha- Kinchlingi road via Koinpur road in Patches from 1.500 km to 4.500 km for the year 2025-26.,S.R to Garabandha- Kinchlingi road via Koinpur road in Patches from 1.500 km to 4.500 km for the year 2025-26.,Please refer Tender documents. ,NA ,"27,47,864",Civil Works - Roads,NA ,Tender,90.0,30.0,Paralakhemundi,761200.0,NA ,NA ,NA ,Paralakhemundi,No ,No,AOC,11-Nov-2025,"INR 2,335,959",30.0,Abhishek Sethi,11-Nov-2025 12:43 PM,AOC.pdf (852.00 KB),AWARD OF CONTRACT,1,3064552,AJAYA KUMAR SAHU,05-Sep-2025 04:25 PM,Rejected-Technical,Schedule Not Furnished.,11-Nov-2025 12:26 PM,Superintending Engineer,Internal,SE DAO EE JE,Abhishek Sethi,11-Nov-2025 12:26 PM,techsummary_550074.pdf (1716.21 KB),Superintending Engineer,Internal,SE DAO EE JE,Abhishek Sethi,11-Nov-2025 12:33 PM,finsummary_550074.pdf (3193.30 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN PARALAKHEMUNDI,2025_EICCL_117140_1,SE-PKD-RandB-DIVN-06/2025-26,S.R to Garabandha- Kinchlingi road via Koinpur road in Patches from 1.500 km to 4.500 km for the year 2025-26.,1.0,3070575.0,Kommuru Chakravarti,INR,"2,335,959",Finance,OS,Abhishek Sethi,11-Nov-2025 12:16 PM,finance_550074.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,.pdf,All Other Documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3070249,BEJJIPURAPU NABIN,09-Sep-2025 02:36 PM,Rejected-AOC,L1 unsuccessful bidder in the transparent lottery system,11-Nov-2025 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3072304,BEJJIPURAPU VASU NAIDU,09-Sep-2025 04:51 PM,Rejected-Technical,"R.C., GST, PAN Not Furnished.",11-Nov-2025 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3072127,Bongu Tirupati Rao,09-Sep-2025 03:32 PM,Rejected-AOC,L1 unsuccessful bidder in the transparent lottery system,11-Nov-2025 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3067333,B. VASUDEVA RAO,07-Sep-2025 02:24 PM,Rejected-AOC,L1 unsuccessful bidder in the transparent lottery system,11-Nov-2025 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3072370,D.HARISH KUMAR,09-Sep-2025 04:55 PM,Rejected-AOC,L1 unsuccessful bidder in the transparent lottery system,11-Nov-2025 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3070312,HARIS CHANDRA NAYAK,09-Sep-2025 10:33 AM,Rejected-Technical,Schedule C Furnished but minimum marks not secured.,11-Nov-2025 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3070575,Kommuru Chakravarti,09-Sep-2025 01:13 PM,Accepted-AOC,Awarded,11-Nov-2025 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3055357,KUSA GOUDA,09-Sep-2025 04:59 PM,Rejected-AOC,L1 unsuccessful bidder in the transparent lottery system,11-Nov-2025 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3070829,MADAN GOUDA,09-Sep-2025 10:22 AM,Rejected-AOC,L1 unsuccessful bidder in the transparent lottery system,11-Nov-2025 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
