Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,The Financial bids of 09 (Nine) Nos. of bidders are opened for further consideration.,Tapan Kumar Behera,20-Jun-2025 08:42 PM,finance_535709.pdf,BOQ Comparative Chart,tapan kumar behera,Internal,,Tapan Kumar Behera,17-Jun-2025 08:33 PM,18-Jun-2025 10:30 AM,techsummary_535709.pdf (780.36 KB),11-Nov-2025,"INR 13,452,325",180.0,Tapan Kumar Behera,11-Nov-2025 12:48 PM,aocpdf.pdf (108.00 KB),as per dtcn,1,2889168,AJAY KUMAR AGRAWAL,20-Apr-2025 08:24 AM,Rejected-Finance,Lost By transparent Lottery system,10-Jul-2025 12:22 PM,1.0,2889648.0,SOBIKA AGRAWAL,INR,"13,452,325",tapan kumar behera,Internal,,Tapan Kumar Behera,10-Jul-2025 12:22 PM,finsummary_535709.pdf (1400.06 KB),Technical,The Technical bids of 11 (Eleven) Nos. of bidders are opened for further consideration.,Tapan Kumar Behera,23-Apr-2025 06:45 PM,technical_535709.pdf,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,2025_EICCL_112314_4,CCE (R and B) BGR-06-2024-25,CONSTRUCTION OF BAR ASSOCIATION CUM CANTEEN FOR CIVIL COURT AT KANTABANJI IN THE DISTRICT OF BALANGIR.,AOC,"1,58,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,CCE (R and B) BGR-06-2024-25,2025_EICCL_112314_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,corrigendum 1,Other,,"10,000",0.0,Nil,Nil,No,08-Apr-2025 02:00 PM,23-Apr-2025 11:00 AM,08-Apr-2025 02:00 PM,22-Apr-2025 05:00 PM,08-Apr-2025 02:00 PM ,15-Apr-2025 05:00 PM ,08-Apr-2025 02:00 PM,22-Apr-2025 05:00 PM,18-Jun-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of tender paper cost and EMD, GSTIN, PAN, RC and Affidavit.",CCE Rand B CIRCLE BALANGIR,O/O CCE R and B CIRCLE BALANGIR,CONSTRUCTION OF BAR ASSOCIATION CUM CANTEEN FOR CIVIL COURT AT KANTABANJI IN THE DISTRICT OF BALANGIR.,Building work,Please refer tender documents ,NA ,"1,58,24,403",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kantabanji,767039.0,NA ,NA ,NA ,O/O CCE R and B CIRCLE BALANGIR,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,2,2891041,DEBABRATA BRAHMA,22-Apr-2025 01:53 PM,Rejected-Finance,as per dtcn,10-Jul-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work Experience.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,2889531,Gokul Pradhan,22-Apr-2025 10:57 AM,Rejected-Finance,Lost By transparent Lottery system,10-Jul-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,2885568,KL INFRAPROJECTS,17-Apr-2025 01:36 PM,Rejected-Technical,as per Dtcn,17-Jun-2025 08:33 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,2890196,PRABHASH KUMAR JAIN,22-Apr-2025 10:05 AM,Rejected-Finance,Lost By transparent Lottery system,10-Jul-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,2891713,Raghunandan Agrawal,22-Apr-2025 03:57 PM,Rejected-Finance,Lost By transparent Lottery system,10-Jul-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,2883070,Sanjaya Kumar Agrawal,16-Apr-2025 05:25 PM,Rejected-Technical,as per Dtcn,17-Jun-2025 08:33 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,2889648,SOBIKA AGRAWAL,22-Apr-2025 12:56 PM,Accepted-AOC,aoc,11-Nov-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,2889536,SOURAV AGRAWAL,20-Apr-2025 07:24 PM,Rejected-Finance,Lost By transparent Lottery system,10-Jul-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,2889748,Tanay Kumar Agrawal,21-Apr-2025 08:32 AM,Rejected-Finance,Lost By transparent Lottery system,10-Jul-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
