Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Tender Stage
Sanjib Kumar Tripathy,Internal,,SANJIB KUMAR TRIPATHY,19-Oct-2025 09:13 AM,techsummary_552993.pdf (12668.66 KB),1,3111813,ARUNDHATI PRIYADARSHINI,06-Oct-2025 11:45 AM,Rejected-AOC,Does not selected through lottery,07-Nov-2025 09:11 PM,07-Nov-2025,"INR 357,917",60.0,SANJIB KUMAR TRIPATHY,07-Nov-2025 09:10 PM,stlkendragree.pdf (1374.00 KB),1.0,3111402.0,M/S JMJ ENTERPRISES,INR,"357,917",Finance,15 nos of bids received,SANJIB KUMAR TRIPATHY,16-Oct-2025 01:04 PM,finance_552993.pdf,BOQ Comparative Chart,Sanjib Kumar Tripathy,Internal,,SANJIB KUMAR TRIPATHY,07-Nov-2025 09:02 PM,finsummary_552993.pdf (1297.90 KB),Directorate of Agriculture and Food Production||SE Agriculture Central Zone||Executive Engineer (Agril) Kendrpara,2025_AGRIL_118202_2,04/2025-26,Upgradation and Renovation of STL Kendrapara,AOC,"2,000",0.0,"E.E.(Agril.), AE Division, Kendrapara",Kendrapara,No,19-Sep-2025 10:00 AM,13-Oct-2025 11:00 AM,19-Sep-2025 10:00 AM,06-Oct-2025 05:00 PM,NA ,NA ,19-Sep-2025 10:00 AM,06-Oct-2025 05:00 PM,Upgradation and Renovation of STL Kendrapara,Upgradation and Renovation of STL Kendrapara,Please refer Tender documents. ,NA ,"4,21,029",Civil Works - Others,NA ,Tender,120.0,60.0,Kendrapara,754211.0,NA ,NA ,NA ,"E.E.(Agril.), AE Division, Kendrapara",No ,No,"E.E.(Agril.), AE Division, Kendrapara","E.E.(Agril.), AE Division, Kendrapara",1.0,Corrigendum,Date,,Directorate of Agriculture and Food Production||SE Agriculture Central Zone||Executive Engineer (Agril) Kendrpara,04/2025-26,2025_AGRIL_118202_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,"4,250",Yes,fixed,,"E.E.(Agril.), AE Division, Kendrapara",Kendrapara,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration, PAN, Affidavit, GST and other as per DTCN",1.0,DD - Demand Draft,AOC
,,,,,,2,3103056,Bijaya Kumar Das,05-Oct-2025 06:38 PM,Rejected-AOC,Does not selected through lottery,07-Nov-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,2.0,TD- Term Deposit,AOC
,,,,,,3,3111130,bijaya kumar senapati,05-Oct-2025 06:16 PM,Rejected-AOC,Does not selected through lottery,07-Nov-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3102174,DHANANJAY BARIK,04-Oct-2025 12:15 PM,Rejected-Technical,EMD in shape of DD,19-Oct-2025 09:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3110720,GITANJALI MALLIK,05-Oct-2025 12:49 PM,Rejected-Technical,EMD has not been submitted in shape of DD,19-Oct-2025 09:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3111838,KESHAB CHANDRA SAHOO,06-Oct-2025 11:29 AM,Rejected-AOC,Does not selected through lottery,07-Nov-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3109840,LOPAMUDRANAYAK,04-Oct-2025 05:04 PM,Rejected-AOC,Does not selected through lottery,07-Nov-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3102611,MANAS KUMAR BISWAL,29-Sep-2025 01:05 PM,Rejected-AOC,Does not selected through lottery,07-Nov-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3111402,M/S JMJ ENTERPRISES,05-Oct-2025 08:28 PM,Accepted-AOC,selected through lottery,07-Nov-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3112358,MURALIDHAR SAHOO,06-Oct-2025 02:25 PM,Rejected-AOC,Does not selected through lottery,07-Nov-2025 09:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
