Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Angul,2431.0,2025_OSCSC_114879_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"CSO-cum-District Manager, OSCSC Ltd, Angul","O/o CSO-cum-DM, OSCSC ltd, Angul, Near Rotary Public School Angul",1.0,Fee/PreQual/Technical,.pdf,Tender Document,1.0,ICICI BANK,26-Jun-2025 11:00 AM,15-Jul-2025 11:00 AM,26-Jun-2025 11:00 AM,11-Jul-2025 05:30 PM,NA ,NA ,26-Jun-2025 11:00 AM,11-Jul-2025 05:30 PM,22-Jul-2025 11:00 AM,"3,61,337",No,fixed,,Nil,Nil,"5,900",0.0,Nil,Nil,No,Selection and appointment of Level-II Transport Contractor for Chhendipada Block for the biennial 2025-27 of Angul District.,Selection and appointment of level-II contractor for transportation of food grains from Rice Receiving Centre (RRC) to Retail Centre (FPS) of Chhendipada Block of Angul District,Please refer Tender documents. ,NA ,"72,26,722",Handling and Transportation,Transportation ,Tender,180.0,576.0,Angul,759122.0,"O/O CSO-cum-DM, OSCSC Ltd, Angul  ","O/o CSO-cum-DM, OSCSC ltd, Angul, Near Rotary Public School Angul ",30-Jun-2025 04:00 PM ,Collectorate Angul,No ,No,AOC,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Angul,2025_OSCSC_114879_1,2431.0,Selection and appointment of Level-II Transport Contractor for Chhendipada Block for the biennial 2025-27 of Angul District.,Technical,Three nos of bidders have applied and participated in the Technical Bid for Level-II Transport Contractor for Chhendipada Block and their scanned documents have been downloaded and received in the presence of DLTC Members and Tenderers / Representative,Srinivas Sahu,19-Jul-2025 01:05 PM,technical_544473.pdf,Collector and District Magistrate Angul,External,DLO Angul / DSWO Angul / RTO Angul,Ashok Kumar Bag,27-Jul-2025 02:37 PM,finsummary_544473.pdf (16475.73 KB),1.0,2991096.0,Amarendra Kumar Sarangi,INR,64.56,1,2991096,Amarendra Kumar Sarangi,10-Jul-2025 08:44 PM,Accepted-AOC,Awarded as L-II Transport Contractor,15-Nov-2025 12:48 PM,15-Nov-2025,INR 1.436,501.0,Srinivas Sahu,15-Nov-2025 12:48 PM,chhendipada.pdf (203.00 KB),AOC for Selection and appointment of Level-II Transport Contractor for Chhendipada Block for the biennial 2025-27 of Angul District.,"Collector and District Magistrate, Angul",External,"DSWO Angul,/ DLO Angul,/ RTO Angul",Srinivas Sahu,19-Jul-2025 01:12 PM,22-Jul-2025 11:00 AM,techsummary_544473.pdf (3958.29 KB),Finance,"Total three numbers of tenderers have been qualified for price bid and their BOQ (rate quoted) are downloaded , received in the presence of DLTC members , tenderers / representatives",Ashok Kumar Bag,27-Jul-2025 11:41 AM,finance_544473.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2993961,PRADHAN LOGISTICS,10-Jul-2025 08:51 PM,Rejected-Finance,"He has quoted highest percentage of ASOR, hence rejected",27-Jul-2025 02:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2991088,SUDHIR RANJAN SAHU,10-Jul-2025 09:04 PM,Rejected-Finance,"He has quoted highest percentage of ASOR, hence rejected",27-Jul-2025 02:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
