Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Selection and appointment of Level-II Transport Contractor for transportation of food grains from RRC to all FPS points of Gurundia Block for the biennial 2025-27,Selection and appointment of Level-II Transport Contractor for transportation of food grains from RRC to all FPS points of Gurundia Block for the biennial 2025-27,PLEASE REFER TO TENDER DOCUMENTS ,NA ,"35,93,831",Handling and Transportation,Transpotation ,Tender,45.0,639.0,Sundargarh,770001.0,"O/O CCSO-cum-DM, OSCSC Ltd., Sundargarh ","O/O CCSO-cum-DM, OSCSC Ltd., Sundargarh ",01-Jul-2025 11:00 AM ,"O/O ADM (General), OSCSC Ltd., Sundargarh",No ,No,"1,79,692",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,DTCN,1.0,Corrigendum/ Addendum,Technical Bid,,"5,900",0.0,Nil,Nil,No,"CCSO-cum-DM, OSCSC Ltd., Sundargarh","O/O CCSO-cum-DM, OSCSC Ltd., Sundargarh",26-Jun-2025 01:00 PM,22-Jul-2025 11:00 AM,26-Jun-2025 01:00 PM,19-Jul-2025 05:30 PM,26-Jun-2025 01:00 PM ,19-Jul-2025 05:30 PM ,26-Jun-2025 01:00 PM,19-Jul-2025 05:30 PM,30-Jul-2025 11:00 AM,1.0,ICICI BANK,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Sundargarh,1978 Dt. 24.06.2025,2025_OSCSC_114894_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,AOC,03-Nov-2025,"INR 3,593,831",639.0,Ajaya Kumar Rath,03-Nov-2025 11:45 AM,3389.pdf (654.00 KB),Selection and appointment of Level-II Transport Contractor for transportation of food grains from RRC to all FPS points of Gurundia Block for the biennial 2025-27,1.0,3002674.0,SANTOSH YADAV,19-Jul-2025 03:20 PM,Accepted-AOC,Qualified in Financial Bid,03-Nov-2025 11:45 AM,"COLLECTOR, SUNDARGARH",Internal,"CCSO-cum-DM SUNDARGARH, ALO SUNDARGARH, DSWO SUNDARGARH, RTO SUNDARGARH, APD (F) SUNDARGARH, DTO SUNDARGARH, ASST COMMISSIONER CT AND GST SUNDARGARH, ADM (GENERAL) SUNDARGARH",Ajaya Kumar Rath,28-Jul-2025 03:45 PM,30-Jul-2025 11:00 AM,techsummary_544521.pdf (4519.64 KB),Finance,Selection and appointment of Level-II Transport Contractor for transportation of food grains from RRC to all FPS points of Gurundia Block for the biennial 2025-27,Ajaya Kumar Rath,03-Nov-2025 10:59 AM,finance_544521.pdf,BOQ Comparative Chart,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Sundargarh,2025_OSCSC_114894_1,1978 Dt. 24.06.2025,Selection and appointment of Level-II Transport Contractor for transportation of food grains from RRC to all FPS points of Gurundia Block for the biennial 2025-27,Technical,Selection and appointment of Level-II Transport Contractor for transportation of food grains from RRC to all FPS points of Gurundia Block for the biennial 2025-27,Ajaya Kumar Rath,28-Jul-2025 12:33 PM,technical_544521.pdf,"COLLECTOR, SUNDARGARH",Internal,CCSO ALO DSWO RTO APD (F) DTO ASST COMMISSIONER CT AND GST ADM (GENERAL) SUNDARGARH,Ajaya Kumar Rath,03-Nov-2025 11:34 AM,finsummary_544521.pdf (3553.12 KB),1.0,3002674.0,SANTOSH YADAV,INR,"3,593,831",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDERCALLNOTICE,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,3002688.0,SAWARIA AGARWAL,19-Jul-2025 03:43 PM,Not Admitted-Finance,Price Bid not complied,03-Nov-2025 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
