Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Construction of Girls common rooms at Hrusikesh Ray Degree college, Chhend Rourkela in the district of sundargarh for the year 2025-26","Construction of Girls common rooms at Hrusikesh Ray Degree college, Chhend Rourkela in the district of sundargarh for the year 2025-26",Please refer the tender document ,NA ,"24,64,700",Civil Works - Buildings,NA ,Tender,90.0,90.0,Rourkela,769012.0,NA ,NA ,NA ,Office of Superintending Engineer Rourkela R and B,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, Registration in CDMS, PAN Card, GSTIN Certificate, Affidavit etc","24,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,Bid id 10 of 2025-26,2025_EICCL_115114_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Superintending Engineer rourkela R and division,Office of Superintending Engineer Rourkela R and B division,05-Jul-2025 11:00 AM,22-Jul-2025 11:00 AM,05-Jul-2025 11:00 AM,21-Jul-2025 05:00 PM,NA ,NA ,05-Jul-2025 11:00 AM,21-Jul-2025 05:00 PM,AOC,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,2025_EICCL_115114_8,Bid id 10 of 2025-26,"Construction of Girls common rooms at Hrusikesh Ray Degree college, Chhend Rourkela in the district of sundargarh for the year 2025-26",Alok Naik SE rourkela r and b dvision,Internal,AK Maharana SrDAO Rourkela R and B Division P p parida estimator Rourkela R and B Division,Prajna Prajwolita Parida,28-Nov-2025 04:46 PM,finsummary_545090.pdf (745.19 KB),Finance,20 no of bidder has been participated,Prajna Prajwolita Parida,24-Jul-2025 04:32 PM,,BOQ Comparative Chart,1.0,3005213.0,M/S BRAHMANI ENTERPRISES PROP. BISWANATH TIRKEY,INR,"2,095,207",1,3002578,BIJAY KUMAR PRADHAN,17-Jul-2025 06:02 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 04:53 PM,28-Nov-2025,"INR 2,095,207",90.0,Prajna Prajwolita Parida,28-Nov-2025 04:53 PM,brahamanigirlworkorder.pdf (745.00 KB),Agmt drawn and Work order issued,Amit Tudu SE rourkela Rand b division,Internal,A Maharana Sr DAO Rourkela R and B Division P p parida estimator Rourkela R and B Division,Alok Kumar Naik,22-Sep-2025 04:43 PM,techsummary_545090.pdf (3482.75 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Financial instruments such as cost of tender paper, EMD, Affidavit etc",,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3003887,CHIDA ORAM,19-Jul-2025 12:10 PM,Rejected-Technical,by tender commitee,22-Sep-2025 04:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Experience Certificate, List of Machinaries,Lease Deeds , MOU with electrical contractor Affidavit e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2997533,HIMANSU SEKHAR PANDA,18-Jul-2025 09:28 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 04:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"No Relation Certificate, Schedule-E, Schedule-F, Affidavit etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3002874,KALANDI CHARAN SWAIN,20-Jul-2025 01:06 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 04:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3006950,Maa Bhanbhori Constructions,21-Jul-2025 02:02 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 04:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3005213,M/S BRAHMANI ENTERPRISES PROP. BISWANATH TIRKEY,20-Jul-2025 04:36 PM,Accepted-AOC,Qualified in the Lottery,28-Nov-2025 04:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3003959,MUKESH RAJAK,19-Jul-2025 12:46 PM,Rejected-Technical,by tender commitee,22-Sep-2025 04:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3004268,NIBEDITA BAL,19-Jul-2025 04:15 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 04:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3001075,NIBHA MISHRA,16-Jul-2025 03:15 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 04:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3007069,PRAFULLA CHANDRA PARIDA,21-Jul-2025 02:40 PM,Rejected-AOC,Not Qualified in the Lottery,28-Nov-2025 04:53 PM,,,,,,,,,,,,,,AOC
