S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
1.0,2553467.0,SRI. BHABANI SHANKAR BEURA,INR,"299,095",Finance,Five bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Bharat Kumar Sethi,26-Sep-2024 01:19 PM,finance_506648.pdf,BOQ Comparative Chart,Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,22-Nov-2025 01:38 PM,finsummary_506648.pdf (76.76 KB),Municipal Bodies||Cuttack Municipal Corporation,2024_ORULB_104449_7,MCCMCCTC_Div-II_No14/2024-25,Cement concrete road from Nirmal Pradhan res to Narayan Behera res in Ward No.41.,Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,22-Nov-2025 01:19 PM,techsummary_506648.pdf (76.76 KB),1,2554333,AJIT KUMAR BEHERA,21-Sep-2024 04:00 PM,Rejected-AOC,Rejected,22-Nov-2025 03:22 PM,22-Nov-2025,"INR 299,095",30.0,Antarjyamee Patra,22-Nov-2025 03:22 PM,chat.pdf (77.00 KB),WO,AOC,12-Sep-2024 05:05 PM,25-Sep-2024 10:00 AM,12-Sep-2024 05:05 PM,21-Sep-2024 05:00 PM,NA ,NA ,12-Sep-2024 05:05 PM,21-Sep-2024 05:00 PM,"3,600",Yes,fixed,,Nil,Nil,Municipal Bodies||Cuttack Municipal Corporation,MCCMCCTC_Div-II_No14/2024-25,2024_ORULB_104449_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","2,360",0.0,Nil,Nil,No,"Executive Engineer,Div-II","Bikash Bhawan,Jagannath Lane,Badambadi-753012",Cement concrete road from Nirmal Pradhan res to Narayan Behera res in Ward No.41.,Cement concrete road from Nirmal Pradhan res to Narayan Behera res in Ward No.41.,Please refer Tender documents. ,NA ,"3,51,835",Civil Works - Others,NA ,Tender,45.0,30.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2554823,DHEERAJ PATTNAIK,21-Sep-2024 03:58 PM,Rejected-AOC,Rejected,22-Nov-2025 03:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2554767,GANESWAR SAMAL,21-Sep-2024 03:23 PM,Rejected-AOC,Rejected,22-Nov-2025 03:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2554342,HRUSHIKESH SAHOO,21-Sep-2024 03:56 PM,Rejected-AOC,Rejected,22-Nov-2025 03:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2553467,SRI. BHABANI SHANKAR BEURA,20-Sep-2024 05:19 PM,Accepted-AOC,Accepted,22-Nov-2025 03:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
