S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3011612.0,MAHENDRA SAHOO,INR,"30,797,673",Technical,Thirty Nine Bidders found,Mamatamayee Biswal,05-Aug-2025 01:08 PM,technical_546013.pdf,CE RW I||RWCIRCLE-ANGUL,2025_CERWI_115559_1,Bridge Online-AGL-05/2025-26,Construction of H.L Bridge over Local Nallah at 3rd Km on PWD road to Sekmal road in the district of Boudh under SBY for the year 2024-25,Chief Construction Engineer,Internal,EE DAO Estimator,Anup Kumar Behera,03-Nov-2025 12:57 AM,finsummary_546013.pdf (1376.75 KB),Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Mamatamayee Biswal,06-Sep-2025 06:14 PM,11-Sep-2025 10:00 AM,techsummary_546013.pdf (6758.71 KB),Finance,34nos bidder found,Mamatamayee Biswal,13-Sep-2025 11:07 AM,,BOQ Comparative Chart,03-Nov-2025,"INR 30,797,673.063",360.0,Anup Kumar Behera,03-Nov-2025 01:02 AM,seakmal.pdf (1669.00 KB),1,3014187,ABAKASH MISHRA,28-Jul-2025 06:44 AM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD One percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness","3,62,283",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,15-Jul-2025 12:00 PM,30-Jul-2025 11:00 AM,15-Jul-2025 12:00 PM,29-Jul-2025 05:00 PM,15-Jul-2025 12:00 PM ,28-Jul-2025 01:00 PM ,15-Jul-2025 12:00 PM,29-Jul-2025 05:00 PM,11-Sep-2025 10:00 AM,"10,000",0.0,Nil,Nil,No,"Chief Construction Engineer,RWC,Angul",At-Hakimpada Po-Hakimpada District- Angul,CE RW I||RWCIRCLE-ANGUL,Bridge Online-AGL-05/2025-26,2025_CERWI_115559_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of H.L Bridge over Local Nallah at 3rd Km on PWD road to Sekmal road in the district of Boudh under SBY for the year 2024-25,Construction of H.L Bridge over Local Nallah at 3rd Km on PWD road to Sekmal road in the district of Boudh under SBY for the year 2024-25,NA ,NA ,"3,62,28,294",Civil Works - Bridges,NA ,Tender,90.0,360.0,Boudh,762014.0,NA ,NA ,NA ,"Office of the Chief Construction Engineer,RWC,Angu",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3015921,ABHIJEET BOSE,28-Jul-2025 08:55 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,.pdf,"Labour licence,Similar nature of work,Annual Turn Over,Work in hand,No relation,No Litigation certif",,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3016590,AMAN KUMAR AGRAWAL,29-Jul-2025 02:54 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3013464,BALAMAKUNDA PUROHIT,29-Jul-2025 11:48 AM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3010949,BISWJEETA SAHU,24-Jul-2025 03:13 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3016811,BLL CONSTRUCTION,29-Jul-2025 04:23 PM,Rejected-Technical,The documents of Generator not furnished,06-Sep-2025 06:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3016548,DEBADATTA MISHRA,29-Jul-2025 01:43 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3016735,GIRIDHARI LAL AGRAWAL,29-Jul-2025 04:15 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3016863,JASOBANTA SAHU,29-Jul-2025 04:45 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3012891,KRUTIBAS MISHRA,29-Jul-2025 02:35 PM,Rejected-Finance,He did not win the Transparent Lottery for finalisation of the Tender,03-Nov-2025 12:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
