Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,Construction of RI Office cum Residence building at Pedagodi under Kaptipada Tahasil building,Construction of RI Office cum Residence building at Pedagodi under Kaptipada Tahasil building,NA ,NA ,"66,61,340",Civil Works - Buildings,NA ,Tender,90.0,180.0,Mayurbhanj,757002.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MAYURBHANJ",No ,No,1.0,Fee/PreQual/Technical,.pdf,RC PAN GSTIN Affidavits and other documents as per DTCN,1.0,Cancellation of tender,Other,,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,01(Online)/RWD/BPD/2025-26,2025_CERWI_114597_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"66,613",Yes,percentage,1.0%,Nil,Nil,21-Jun-2025 03:00 PM,30-Jun-2025 05:30 PM,21-Jun-2025 03:00 PM,30-Jun-2025 05:00 PM,21-Jun-2025 03:00 PM ,30-Jun-2025 03:00 PM ,21-Jun-2025 03:00 PM,30-Jun-2025 05:00 PM,23-Jul-2025 09:00 AM,Divisional Officer,"RURAL WORKS DIVISION, MAYURBHANJ",AOC,13-Oct-2025,"INR 5,662,805.062",180.0,Rajesh Pradhan,11-Nov-2025 01:58 PM,64.pdf (1115.00 KB),1,2982936,AJIT KUMAR BEHERA,29-Jun-2025 06:42 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,Finance,.,Dibyamayee Behera,05-Aug-2025 07:18 PM,finance_543610.pdf,BOQ Comparative Chart,R.Pradhan,Internal,,Dibyamayee Behera,22-Jul-2025 06:39 PM,23-Jul-2025 09:00 AM,techsummary_543610.pdf (2512.37 KB),R.Pradhan,Internal,,Dibyamayee Behera,12-Aug-2025 12:14 PM,finsummary_543610.pdf (2204.50 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_114597_1,01(Online)/RWD/BPD/2025-26,Construction of RI Office cum Residence building at Pedagodi under Kaptipada Tahasil building,Technical,19nos bidders participated.,Dibyamayee Behera,22-Jul-2025 06:32 PM,technical_543610.pdf,1.0,2981961.0,DEBASHIS BARIK,INR,"5,662,805.062",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2983851,AJIT KUMAR MALLICK,30-Jun-2025 02:06 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2983610,ARPIT ROUT,30-Jun-2025 12:23 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2981232,BHABANI SHANKAR SETHI,27-Jun-2025 03:45 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2982402,BIKASH RANJAN NAYAK,28-Jun-2025 09:07 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2981961,DEBASHIS BARIK,28-Jun-2025 01:00 PM,Accepted-AOC,Lottery winner,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2983038,DILLIP NAYAK,29-Jun-2025 08:27 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2981051,JIBAN KUMAR SAHU,26-Jun-2025 08:50 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2980523,MANAS KUMAR BEHERA,27-Jun-2025 04:44 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2983201,PRAHALLAD BEHERA,30-Jun-2025 02:22 PM,Rejected-AOC,unsuccessful tenderer,11-Nov-2025 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
