S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-02/2025-26,2025_OLIC_112442_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Revival of defunct CHANDELI-II L.I. Project under BIRAMAHARAJPUR Block in SUBARNAPUR District (Sate Plan Fund),Revival of defunct CHANDELI-II L.I. Project under BIRAMAHARAJPUR Block in SUBARNAPUR District (Sate Plan Fund),Please refer Tender documents. ,NA ,"16,08,191",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Sonepur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,"Executive Engineer, L.I. Division, Subarnapur","O/o the Executive Engineer, L.I. Division, Subarnapur","16,082",Yes,percentage,1.0%,Nil,Nil,"7,080",0.0,Nil,Nil,No,15-Apr-2025 11:00 AM,23-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,22-Apr-2025 05:00 PM,15-Apr-2025 11:00 AM ,21-Apr-2025 05:00 PM ,15-Apr-2025 11:00 AM,22-Apr-2025 05:00 PM,AOC,1,2887173,Dukhanasana Sethi,22-Apr-2025 12:12 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 08:19 AM,26-Nov-2025,"INR 1,608,191.08",90.0,CHANDRAMA PING,26-Nov-2025 08:23 AM,AOC.pdf (6685.00 KB),Success on Lottery System,EE,Internal,EE and others,CHANDRAMA PING,25-Nov-2025 10:23 PM,techsummary_536305.pdf (6684.91 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_112442_13,OLIC-SNP-02/2025-26,Revival of defunct CHANDELI-II L.I. Project under BIRAMAHARAJPUR Block in SUBARNAPUR District (Sate Plan Fund),EE,Internal,EE and others,CHANDRAMA PING,26-Nov-2025 08:19 AM,finsummary_536305.pdf (6684.91 KB),Finance,10 Nos. out of 12,CHANDRAMA PING,15-Oct-2025 09:42 PM,finance_536305.pdf,BOQ Comparative Chart,1.0,2887763.0,MS Shree Shyam and Co,INR,"1,367,123",AOC
2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2890968,GOPAL KUMAR AGRAWAL,21-Apr-2025 10:12 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 08:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2889252,KALYANI NANDA,20-Apr-2025 12:23 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 08:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2886573,M/S PRADHAN CONSTRUCTION PROP SASMITA PRADHAN,19-Apr-2025 07:21 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 08:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2887763,MS Shree Shyam and Co,19-Apr-2025 01:05 PM,Accepted-AOC,Success on Lottery System,26-Nov-2025 08:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2887076,Namita Sahu,21-Apr-2025 01:15 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Rejection due to Section-II, 2.2 (V) in DTCN",15-Oct-2025 09:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2887101,NANDA KISHOR BAGH,20-Apr-2025 01:02 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 08:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2891073,NANDI KISHOR BARIK,22-Apr-2025 09:33 AM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 08:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2886502,RADHAKANTA MAHALIK,18-Apr-2025 06:38 PM,Rejected-Finance,Unsuccess on Lottery System,26-Nov-2025 08:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2891352,RENUKA HOTA,22-Apr-2025 02:00 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Rejection due to Section-II, 2.2 (V) in DTCN",15-Oct-2025 09:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
