Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,11 Nos of Bidders admitted.,Ashwani Pradhan,06-Nov-2025 06:20 PM,,BOQ Comparative Chart,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,01-Sep-2025 01:22 PM,04-Sep-2025 11:00 AM,techsummary_547050.pdf (437.99 KB),1,3022173,Harihara Giri,03-Aug-2025 12:43 PM,Rejected-AOC,L1,26-Nov-2025 01:51 PM,19-Nov-2025,"INR 37,922,194",365.0,Akshaya Kumar Naik,26-Nov-2025 01:51 PM,Barehi.pdf (1018.00 KB),1.0,3022884.0,JEETESH RANJAN BEHERA,INR,"37,922,194","CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,11-Nov-2025 12:05 PM,finsummary_547050.pdf (447.48 KB),Technical,12 Nos of Bidders Participated,Akshaya Kumar Naik,31-Aug-2025 10:27 AM,technical_547050.pdf,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_115965_1,NCB 382,Construction of Bridge over Barehi nallah at 2nd km on Tarana to Patramahulpani road in the District of Mayurbhanj under BSY for the year 2023-24,AOC,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,23-Jul-2025 05:00 PM,07-Aug-2025 11:00 AM,23-Jul-2025 05:00 PM,06-Aug-2025 05:00 PM,23-Jul-2025 05:00 PM ,05-Aug-2025 05:00 PM ,23-Jul-2025 05:00 PM,06-Aug-2025 05:00 PM,04-Sep-2025 11:00 AM,"4,46,100",Yes,percentage,1.0%,Nil,Nil,Circle Officer,"RURAL WORKS CIRCLE, BARIPADA",1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",Construction of Bridge over Barehi nallah at 2nd km on Tarana to Patramahulpani road in the District of Mayurbhanj under BSY for the year 2023-24,Construction of Bridge over Barehi nallah at 2nd km on Tarana to Patramahulpani road in the District of Mayurbhanj under BSY for the year 2023-24,NA ,NA ,"4,46,10,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Mayurbhanj,757105.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE, BARIPADA",No ,No,CE RW I||RWCIRCLE-BARIPADA,NCB 382,2025_CERWI_115965_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,3022884,JEETESH RANJAN BEHERA,04-Aug-2025 12:39 PM,Accepted-AOC,L1,26-Nov-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3025903,MANOJ KUMAR MOHANTY,06-Aug-2025 03:52 PM,Rejected-AOC,L1,26-Nov-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3023802,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,04-Aug-2025 08:22 PM,Rejected-Technical,Insufficinet similar nature of work experience.,01-Sep-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3017743,M/S BENGAL CONSTRUCTION AND CO,04-Aug-2025 08:02 PM,Rejected-AOC,L2,26-Nov-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3022746,Nanda Kishore Bindhani,05-Aug-2025 01:15 PM,Rejected-AOC,L1,26-Nov-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3018259,SATYABRATA DHAL,30-Jul-2025 03:32 PM,Rejected-AOC,L1,26-Nov-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3025445,SILVER CREEK CONSTRUCTIONS,06-Aug-2025 03:24 PM,Rejected-AOC,L1,26-Nov-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3020288,SRI SUBASH CHANDRA MANDAL,05-Aug-2025 11:34 AM,Rejected-AOC,L1,26-Nov-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3025876,SUBHRANSU SEKHAR NAYAK,06-Aug-2025 04:05 PM,Rejected-AOC,L1,26-Nov-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
