S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3090606.0,JAYANTA KUMAR PARIDA,INR,"356,615",Finance,Document downloaded,Priyadarshini Behera,26-Sep-2025 12:10 PM,finance_552618.pdf,BOQ Comparative Chart,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,21-Nov-2025 07:00 PM,finsummary_552618.pdf (1070.34 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_118069_1,03SERWBLS,SR to Fire Station Building at Oupada for the year 2025-26,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,21-Nov-2025 06:52 PM,techsummary_552618.pdf (1070.34 KB),21-Nov-2025,"INR 356,615",30.0,Soubhagya Kumar Das,21-Nov-2025 07:03 PM,27TCN3.pdf (1070.00 KB),1,3092956,ABHIMANYU DALEI,22-Sep-2025 01:37 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,03SERWBLS,2025_CERWI_118069_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION, BALASORE",15-Sep-2025 10:00 AM,23-Sep-2025 11:00 AM,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,15-Sep-2025 10:00 AM ,22-Sep-2025 01:00 PM ,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,"4,195",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"P. cost, EMD, RC, Pan, Valid GSTIN, Affidavit and other as per DTCN",1.0,ICICI BANK,SR to Fire Station Building at Oupada for the year 2025-26,SR to Fire Station Building at Oupada for the year 2025-26,NA ,NA ,"4,19,497",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3092088,ASHOK KUMAR MOHAPATRA,21-Sep-2025 12:33 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3094618,BASANTA MAHARANA,22-Sep-2025 04:23 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3092849,BIKRAM KESHARI PATRA,21-Sep-2025 09:55 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3093011,GOURANGA SETHI (S.C),21-Sep-2025 09:40 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3091462,Itishree Mohanty,21-Sep-2025 10:39 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3090606,JAYANTA KUMAR PARIDA,21-Sep-2025 12:44 PM,Accepted-AOC,Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3084086,MAHENDRA SETHI,20-Sep-2025 12:11 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3092129,M/S MANAS KUMAR TRIPATHY,21-Sep-2025 04:57 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3090350,NILAMBAR MOHAPATRA,20-Sep-2025 02:08 PM,Rejected-AOC,Not Qualified,21-Nov-2025 07:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
