Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Additional Chief Engineer P.H,"Additional Chief Engineer, P.H.Circle Berhampur functioning at Chatrapur","10,000",0.0,Nil,Nil,No,16-May-2025 11:00 AM,04-Jun-2025 12:30 PM,16-May-2025 11:00 AM,30-May-2025 05:30 PM,16-May-2025 11:00 AM ,20-May-2025 05:30 PM ,16-May-2025 11:00 AM,30-May-2025 05:30 PM,15-Oct-2025 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Paper, EMD, PAN, GSTIN, Affidavits as per DTCN","Construction of MBR, laying of CW feeder main Distribution line and other ancillary works in connection to the improvement of water supply to Kodala NAC under AMRUT 2.0 (SWAP-III)","Construction of MBR, laying of CW feeder main Distribution line and other ancillary works in connection to the improvement of water supply to Kodala NAC under AMRUT 2.0 (SWAP-III)",Please refer Tender documents. ,NA ,"5,74,08,243",Civil Works - Water Works,NA ,Tender,120.0,360.0,Kodala,761032.0,Chatrapur ,"Additional Chief Engineer, P.H.Circle Berhampur functioning at Chatrapur ",21-May-2025 04:00 PM ,Chatrapur,No ,No,PHEO||SEPH-CIRCLE-BERHAMPUR,ACEPHCBAM-05/2025-26 Dt.05.05.2025,2025_PHEO_113431_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"5,74,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,27-Nov-2025,"INR 48,802,747",360.0,DEBADUTTA SAHU,27-Nov-2025 07:06 PM,Order.pdf (669.00 KB),The L1 Bidder Ashish Mohanty,Chief Engineer PH,Internal,"Chief Engineer PH, Additional Chief Engineer PH, DAO,PA to CE PH Estimator,",DEBADUTTA SAHU,27-Nov-2025 06:59 PM,finsummary_539446.pdf (1077.74 KB),Finance,9(Nine) no bidder online Taken action shortly,DEBADUTTA SAHU,27-Nov-2025 06:44 PM,finance_539446.pdf,BOQ Comparative Chart,Technical,11 (Eleven) Nos. of bid have been opened online. Technically Evaluation will be taken shortly,DEBADUTTA SAHU,19-Jun-2025 12:58 PM,technical_539446.pdf,1,2943499,ADITYA ENGINEERING SERVICES,30-May-2025 03:58 PM,Rejected-AOC,2nd lowest,27-Nov-2025 07:06 PM,PHEO||SEPH-CIRCLE-BERHAMPUR,2025_PHEO_113431_1,ACEPHCBAM-05/2025-26 Dt.05.05.2025,"Construction of MBR, laying of CW feeder main Distribution line and other ancillary works in connection to the improvement of water supply to Kodala NAC under AMRUT 2.0 (SWAP-III)",1.0,2943464.0,ASHISH MOHANTY,INR,"48,802,747",Chief Engineer P.H,Internal,"Chief Engineer P.H Additional Chief Engineer P.H , DAO , PA to CE , Estimator PH Division",DEBADUTTA SAHU,13-Oct-2025 01:39 PM,15-Oct-2025 12:30 PM,techsummary_539446.pdf (10699.41 KB),AOC
,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2943464,ASHISH MOHANTY,30-May-2025 03:35 PM,Accepted-AOC,1st lowest,27-Nov-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2942748,BAIKUNTHA SWAIN,30-May-2025 01:19 PM,Not Admitted-Finance,Not qualified for AOC,27-Nov-2025 06:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2926337,Greenleaf Envirotech Pvt Ltd,30-May-2025 03:47 PM,Rejected-AOC,2nd lowest,27-Nov-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2934829,Jeetendra Kumar Panda,29-May-2025 12:28 PM,Not Admitted-Finance,Not qualified for AOC,27-Nov-2025 06:44 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,2943786,RAMAKANTA PANDA,30-May-2025 04:51 PM,Rejected-AOC,1st lowest,27-Nov-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,2938434,SANJEEB MOHANTY,30-May-2025 02:19 PM,Rejected-AOC,2nd lowest,27-Nov-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,2943672,SATYAJIT PATRA,30-May-2025 04:33 PM,Rejected-AOC,2nd lowest,27-Nov-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,2941873,SRI ANNAN KUMAR VERMA,30-May-2025 12:51 PM,Rejected-AOC,2nd lowest,27-Nov-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,2939386,SURYA NARAYAN SAHU,29-May-2025 02:20 PM,Rejected-AOC,2nd lowest,27-Nov-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,2943284,SUVENDU DAS,30-May-2025 02:48 PM,Rejected-AOC,2nd lowest,27-Nov-2025 07:06 PM,,,,,,,,,,,,,,,,,AOC
