Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Dharmagarh NAC,DHM/02/2025-26,2025_ORULB_117996_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, PAN, GST Cost of Tender Paper ,EMD and other document as per DTCN",CONSTRUCTION OF CREMATORIUM NEAR INDRAVATI OFFICE IN WARD NO-10,CONSTRUCTION OF CREMATORIUM NEAR INDRAVATI OFFICE IN WARD NO-10,Please refer Tender documents. ,NA ,"16,39,831",Civil Works - Others,NA ,Tender,90.0,60.0,"NAC, DHARMAGARH",766015.0,NA ,NA ,NA ,"NAC,DHARMAGARH",No ,No,"16,398",Yes,percentage,1.0%,Nil,Nil,13-Sep-2025 03:00 PM,25-Sep-2025 11:00 AM,13-Sep-2025 03:00 PM,24-Sep-2025 05:00 PM,NA ,NA ,13-Sep-2025 03:00 PM,24-Sep-2025 05:00 PM,"EXECUTIVE OFFICER, NAC DHARMAGARH","NAC ,DHARMAGARH",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,19-Nov-2025,"INR 1,394,012.03",60.0,Biswambhar Mishra,19-Nov-2025 06:11 PM,PROCEEDING.pdf (633.00 KB),1,3097959,ABHIMANYU CHHATRIA,24-Sep-2025 06:44 AM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,ASHOK KUMAR MOHANTY,Internal,"BISWAMBHAR MISHRA,RAJIB LOCHAN PODH,BIRSINGH BIROLI",Biswambhar Mishra,18-Nov-2025 11:18 AM,techsummary_552439.pdf (632.83 KB),Municipal Bodies||Dharmagarh NAC,2025_ORULB_117996_4,DHM/02/2025-26,CONSTRUCTION OF CREMATORIUM NEAR INDRAVATI OFFICE IN WARD NO-10,ASHOK KUMAR MOHANTY,Internal,"BISWAMBHAR MISHRA,RAJIB LOCHAN PODH,BIRSINGH BIROLI",Biswambhar Mishra,19-Nov-2025 06:07 PM,finsummary_552439.pdf (632.83 KB),Finance,by the tender committee,Biswambhar Mishra,17-Nov-2025 10:40 AM,finance_552439.pdf,BOQ Comparative Chart,1.0,3095546.0,MANOJ KUMAR AGRAWAL,INR,"1,394,012.03",AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,2,3092233,AISCHARYA GOYAL,23-Sep-2025 09:26 PM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3098051,DHABALESWAR NAIK,24-Sep-2025 10:45 AM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3097874,DIPTIMAYEE JENA,24-Sep-2025 02:10 PM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3098902,GAJINDRA PRADHAN,24-Sep-2025 04:14 PM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3095855,JAGBANDHU SUNANI,24-Sep-2025 12:26 PM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3098466,KHUSBU AGRAWAL,24-Sep-2025 02:52 PM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3097712,LILI MEHER,23-Sep-2025 09:09 PM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3090274,Liza Kumar Sagadia,24-Sep-2025 12:31 AM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3095791,MAHENDRA NAIK,22-Sep-2025 08:09 PM,Rejected-Finance,BY THE TENDER COMMITTEE,19-Nov-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
