EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"47,864",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Installation and Energization of Package 70,Installation and Energization of Package 70,As per mentioned in DTCN ,NA ,"47,86,409",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,"L.I Division, Bhadrak",756100.0,NA ,NA ,NA ,"L.I Division, Bhadrak",No ,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,"10,000",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,01/2024-25 (2706)/OLIC (BDK) dt. 14.10.2024,2024_OLIC_105822_70,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"E.E, L.I Division, Bhadrak","E.E, L.I Division, Bhadrak",22-Oct-2024 11:00 AM,06-Nov-2024 11:00 AM,22-Oct-2024 11:00 AM,05-Nov-2024 05:00 PM,22-Oct-2024 11:00 AM ,05-Nov-2024 05:00 PM ,22-Oct-2024 11:00 AM,05-Nov-2024 05:00 PM,08-Jan-2025 12:00 PM,AOC,G T Rao,Internal,,G. TARESWAR RAO,18-Apr-2025 01:39 PM,finsummary_510542.pdf (2475.64 KB),Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,2024_OLIC_105822_70,01/2024-25 (2706)/OLIC (BDK) dt. 14.10.2024,Installation and Energization of Package 70,Technical,Admitted,G. TARESWAR RAO,09-Nov-2024 10:42 AM,,1.0,2608128.0,PRAKASH BEHERA,INR,"5,592,048",01-Aug-2025,"INR 5,592,048",90.0,DUSHASAN JENA,11-Nov-2025 04:08 PM,PKG70.pdf (246.00 KB),Awarded of Contract,1,2613394,AMALENDU NAYAK,04-Nov-2024 01:39 PM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,Finance,Financial Bid Opened,G. TARESWAR RAO,08-Jan-2025 04:14 PM,finance_510542.pdf,BOQ Comparative Chart,G T Rao,Internal,,G. TARESWAR RAO,04-Jan-2025 02:33 PM,08-Jan-2025 12:00 PM,techsummary_510542.pdf (2475.64 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2605534,AMIYA KUMAR NAYAK,05-Nov-2024 03:53 PM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2616207,BRAHMA SWARUP MOHAPATRA,04-Nov-2024 11:44 PM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2616311,GITANJALI SARANGI PROPRIETOR- GITANJALI ENTERPRISES,05-Nov-2024 12:43 AM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2610448,KAMALAKANTA DAS,05-Nov-2024 10:12 AM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2618777,MANORANJAN SENAPATI,05-Nov-2024 01:24 PM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2618520,M/S DILIP KUMAR SAHOO,05-Nov-2024 12:58 PM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2612518,M/S LAXMI NRUSINGHA CONSTRUCTION AND POWER,05-Nov-2024 12:40 PM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2618029,PRADEEP KUMAR AGRAWALLA,05-Nov-2024 11:52 AM,Rejected-Finance,Due to in L2 Position,18-Apr-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2608128,PRAKASH BEHERA,04-Nov-2024 07:13 PM,Accepted-AOC,Award of Contract,11-Nov-2025 04:08 PM,,,,,,,,,,,,,,AOC
