S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2903928.0,JAGADAMBA CONSTRUCTION,INR,"104,502,133",CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,21-Nov-2025 07:47 PM,finsummary_536939.pdf (299.36 KB),Technical,Opening,Pradipta Kumar Nayak,06-May-2025 05:14 PM,,EIC-CIVIL,2025_EICCL_112588_1,CE-ROADS-II-01/2025-26,Improvement such as widening and strengthening of Bhojpur-Jamankira road from 0/000 km to 13/695 km in the district of Sambalpur under State Plan,Finance,Finance Opening,Bijaya Laxmi Panda,14-Aug-2025 01:21 PM,,BOQ Comparative Chart,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,11-Aug-2025 01:50 PM,14-Aug-2025 11:30 AM,techsummary_536939.pdf (420.92 KB),1,2904553,Ashok Kumar Jalan,05-May-2025 01:42 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,21-Nov-2025,"INR 104,502,133",450.0,Pradipta Kumar Nayak,21-Nov-2025 07:53 PM,Bhojpur_Jamankira.pdf (299.00 KB),966P1 of 2025-26,AOC,1.0,ICICI BANK,"12,29,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar","10,000",0.0,Nil,Nil,No,17-Apr-2025 06:00 PM,06-May-2025 11:30 AM,17-Apr-2025 06:00 PM,05-May-2025 05:30 PM,NA ,NA ,17-Apr-2025 06:00 PM,05-May-2025 05:30 PM,14-Aug-2025 11:30 AM,Improvement such as widening and strengthening of Bhojpur-Jamankira road from 0/000 km to 13/695 km in the district of Sambalpur under State Plan,Improvement such as widening and strengthening of Bhojpur-Jamankira road from 0/000 km to 13/695 km in the district of Sambalpur under State Plan,Please refer Tender documents. ,NA ,"12,29,29,223",Civil Works - Roads,NA ,Tender,90.0,450.0,Sambalpur-II,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,EIC-CIVIL,CE-ROADS-II-01/2025-26,2025_EICCL_112588_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2905813,Binod Kumar Agrawal,05-May-2025 02:19 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2904563,DHANESWAR SAHU,05-May-2025 04:14 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2903928,JAGADAMBA CONSTRUCTION,05-May-2025 11:17 AM,Accepted-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2906104,MAA SANTOSHI ENTERPRISES,05-May-2025 04:27 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2904131,MISHRA INFRA PROJECTS,04-May-2025 07:28 AM,Rejected-Technical,Disqualified,11-Aug-2025 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2904208,MONALISA ENGICONS,04-May-2025 06:55 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2905149,M/S JBN ENGICONS,05-May-2025 03:14 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2904193,M/S SUMEET & ASSOCIATES,04-May-2025 07:02 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2902351,Orient Constructions Pvt. Ltd.,03-May-2025 06:24 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2905966,Paban Kumar Agrawal,05-May-2025 01:04 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2895463,PRASANTA KUMAR SAMANTRAY,05-May-2025 10:06 AM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2905978,Pruthwiraj Patra,05-May-2025 02:33 PM,Rejected-AOC,L2 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2905844,PYARIMOHAN PRADHAN,05-May-2025 01:20 PM,Rejected-Technical,Disqualified,11-Aug-2025 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2904473,R S Infrastructure,03-May-2025 08:54 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2904092,RUPESH AGRAWAL PROP. R S INFRA,02-May-2025 09:35 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2904316,SAMBIT MOHAPATRA,05-May-2025 10:23 AM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2901741,SANGRAM MISHRA,04-May-2025 07:14 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2904840,SANJIT KUMAR NAIK,04-May-2025 05:03 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2905032,sarasi pati,05-May-2025 02:42 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2905586,SATENDRA PRASAD,05-May-2025 03:58 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2901789,SAYED ABDUL SIRAJ,05-May-2025 11:15 AM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2894039,SBM NIRMAAN CONSTRUCTION PRIVATE LIMITED,05-May-2025 01:17 PM,Rejected-AOC,L2 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2904032,SHANTI CONSTRUCTION SAMBALPUR PVT. LTD.,03-May-2025 07:49 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2906221,SHREE SHYAMJEE CONSTRUCTIONS PVT LTD,05-May-2025 02:48 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2905071,SUSHIL KUMAR AGRAWAL,05-May-2025 03:44 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2905587,tapan kumar sahu,05-May-2025 11:26 AM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2903354,Varvinder Singh Chawla,02-May-2025 02:39 PM,Rejected-AOC,L1 bidder,21-Nov-2025 07:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
