Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,As Per Tender Committee,RUSI MAJHI,05-Nov-2025 12:36 PM,finance_548230.pdf,BOQ Comparative Chart,1.0,3038100.0,SUDHANSU SEKHAR MEHER,INR,"1,178,791.86",Municipal Bodies||Sonepur Municipal Council,2025_ORULB_116406_8,SNP-MUN-30/2025-26,"Renovation of Concrete road from Kainthala to Baultal ,w.no.03",Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,05-Nov-2025 12:48 PM,finsummary_548230.pdf (814.70 KB),Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,05-Nov-2025 12:41 PM,techsummary_548230.pdf (1489.53 KB),1,3036433,DHARMARAJ MAHALIK,14-Aug-2025 08:02 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,05-Nov-2025,"INR 1,178,791.86",45.0,RUSI MAJHI,05-Nov-2025 12:52 PM,8WorkOrder.pdf (719.00 KB),As Per Tender Committee,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,As Per DTCN,"13,866",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Officer,Sonepur Municipality,05-Aug-2025 11:00 AM,19-Aug-2025 11:00 AM,05-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,05-Aug-2025 11:00 AM ,18-Aug-2025 05:00 PM ,05-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,"Renovation of Concrete road from Kainthala to Baultal ,w.no.03","Renovation of Concrete road from Kainthala to Baultal ,w.no.03",Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,45.0,NA ,Sonepur Municipality,767017.0,NA ,NA ,NA ,Sonepur Municipality,No ,No,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Sonepur Municipal Council,SNP-MUN-30/2025-26,2025_ORULB_116406_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3039888,NARADA DANDASENA,18-Aug-2025 12:30 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,.xls,As Per BoQ,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3037144,PABITRA SINGH BHITIRIA,18-Aug-2025 01:13 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3039091,PRAMILA PUJAHARI,17-Aug-2025 01:14 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3033195,PRAMOD PRADHAN,18-Aug-2025 03:29 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3037158,REKHA AGRAWAL,18-Aug-2025 12:54 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3039731,SARJAN BARIK,18-Aug-2025 11:15 AM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3032236,SHASHI BHUSAN PRAHARAJ,13-Aug-2025 06:18 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3038100,SUDHANSU SEKHAR MEHER,17-Aug-2025 12:17 PM,Accepted-AOC,Won the Lottery,05-Nov-2025 12:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3038062,Tanaya Kumari Bohidar,17-Aug-2025 07:08 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3039701,Uma Bhoi,18-Aug-2025 02:32 PM,Rejected-Finance,Lost the Lottery,05-Nov-2025 12:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
