S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"Executive Engineer, L.I. Division, Subarnapur","O/o the Executive Engineer, L.I. Division, Subarnapur","4,720",0.0,Nil,Nil,No,15-Apr-2025 11:00 AM,23-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,22-Apr-2025 05:00 PM,15-Apr-2025 11:00 AM ,21-Apr-2025 05:00 PM ,15-Apr-2025 11:00 AM,22-Apr-2025 05:00 PM,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-02/2025-26,2025_OLIC_112442_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Reinforcement of KEUTIPALI-I L.I. Project under ULLUNDA Block in SUBARNAPUR District (Sate Plan Fund),Reinforcement of KEUTIPALI-I L.I. Project under ULLUNDA Block in SUBARNAPUR District (Sate Plan Fund),Please refer Tender documents. ,NA ,"7,52,894",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Sonepur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,"7,529",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN",AOC,EE,Internal,EE and others,CHANDRAMA PING,15-Nov-2025 08:05 PM,finsummary_536335.pdf (6684.91 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_112442_42,OLIC-SNP-02/2025-26,Reinforcement of KEUTIPALI-I L.I. Project under ULLUNDA Block in SUBARNAPUR District (Sate Plan Fund),1.0,2887807.0,MS Shree Shyam and Co,INR,"640,035",Finance,8 Nos. out of 10 Nos.,CHANDRAMA PING,16-Oct-2025 09:20 PM,finance_536335.pdf,BOQ Comparative Chart,1,2888104,BARCELONA KHUNTIA,18-Apr-2025 04:37 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Rejection due to Section-II, 2.2.(V) as per DTCN",16-Oct-2025 09:20 PM,15-Nov-2025,"INR 752,894.49",90.0,CHANDRAMA PING,15-Nov-2025 08:08 PM,AOC.pdf (6685.00 KB),Success on Lottery System,EE,Internal,EE and others,CHANDRAMA PING,15-Nov-2025 08:00 PM,techsummary_536335.pdf (6684.91 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC,,,,,,,,,,,,,,,,,,,,,,2,2889366,KALYANI NANDA,20-Apr-2025 07:19 PM,Rejected-Finance,Unsuccess on Lottery System,15-Nov-2025 08:05 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2890875,MITA NAYAK,21-Apr-2025 08:54 PM,Rejected-Finance,Unsuccess on Lottery System,15-Nov-2025 08:05 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2886904,M/S SHREE GANESH CONSTRUCTION,22-Apr-2025 11:05 AM,Rejected-Finance,Unsuccess on Lottery System,15-Nov-2025 08:05 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2887807,MS Shree Shyam and Co,19-Apr-2025 08:04 PM,Accepted-AOC,Success on Lottery System,15-Nov-2025 08:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2891113,NANDI KISHOR BARIK,22-Apr-2025 02:31 PM,Rejected-Finance,Unsuccess on Lottery System,15-Nov-2025 08:05 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2886529,RADHAKANTA MAHALIK,18-Apr-2025 07:41 PM,Rejected-Finance,Unsuccess on Lottery System,15-Nov-2025 08:05 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2891368,RENUKA HOTA,22-Apr-2025 02:23 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Rejection due to Section-II, 2.2.(V) as per DTCN",16-Oct-2025 09:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2887988,RINKI SAHU,21-Apr-2025 11:55 AM,Rejected-Finance,Unsuccess on Lottery System,15-Nov-2025 08:05 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2889707,SASMITA SAHU,21-Apr-2025 10:54 PM,Rejected-Finance,Unsuccess on Lottery System,15-Nov-2025 08:05 PM,,,,,,,,,,,,,,AOC
