Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,"Bank protection work on right bank of river Gangahar near village Mankidiha, Ranibandha in GB Nagar block.",Bank protection work,Please refer Tender documents. ,NA ,"36,54,906",Civil Works - Others,NA ,Tender,90.0,180.0,Baripada,757002.0,NA ,NA ,NA ,"O/o the S.E., Mayurbhanj Irrn. Divn. Baripada.",No ,No,1.0,ICICI BANK,"37,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,ONLINETENDER COST EMD RC GST AFFIDAVIT NO RELATION PAYMENT REPORT OTHER DOCUMENTS AS DTCN,02-May-2025 10:00 AM,17-May-2025 11:00 AM,02-May-2025 10:00 AM,16-May-2025 05:00 PM,02-May-2025 10:00 AM ,13-May-2025 05:00 PM ,02-May-2025 10:00 AM,16-May-2025 05:00 PM,"CE-BM,BSB Basin,Laxmiposi||SE,Baripada Irr.Circle,Takatpur||EE, Mayurbhanj Irr.Divn,Baripada",01MBJ/2025-26(3),2025_CEBML_112956_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"S.E., Mayurbhanj Irrigation Division, Baripada","O/o the S.E., Mayurbhanj Irrn. Divn. Baripada.",AOC,1,2920427,AKASH CHANDRA GIRI,16-May-2025 12:11 PM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,26-Nov-2025,"INR 3,666,302",180.0,Ramlal Tiu,26-Nov-2025 12:43 PM,03.pdf (166.00 KB),ER. Parameswar Patra,Internal,,Ramlal Tiu,21-Jun-2025 11:42 AM,techsummary_538031.pdf (65.97 KB),P Patra,Internal,,Ramlal Tiu,26-Nov-2025 12:39 PM,finsummary_538031.pdf (165.80 KB),"CE-BM,BSB Basin,Laxmiposi||SE,Baripada Irr.Circle,Takatpur||EE, Mayurbhanj Irr.Divn,Baripada",2025_CEBML_112956_1,01MBJ/2025-26(3),"Bank protection work on right bank of river Gangahar near village Mankidiha, Ranibandha in GB Nagar block.",1.0,2921020.0,ASIT KUMAR LENKA,INR,"3,666,302",Finance,summary report,Ramlal Tiu,21-Jun-2025 11:24 AM,finance_538031.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2919834,ANANYA NAIK,15-May-2025 11:38 PM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2918455,Anjan kumar Das,15-May-2025 07:39 AM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2919955,ARPIT ROUT,16-May-2025 11:28 AM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2921266,ASISHRANJAN SETHI,16-May-2025 04:39 PM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2921020,ASIT KUMAR LENKA,16-May-2025 03:16 PM,Accepted-AOC,Agreement executed,26-Nov-2025 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2917970,BHABANI SANKAR DHAL,16-May-2025 09:03 AM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2919354,BHAGYASHREE JENA,15-May-2025 06:10 PM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2910144,BHASKAR CHANDRA SAHU,12-May-2025 08:10 PM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2919985,BIKASH SAHU,16-May-2025 07:42 AM,Rejected-Technical,Does not elected in lottery,21-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
