S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN","3,87,500",Yes,fixed,,Nil,Nil,22-Sep-2025 06:55 PM,06-Oct-2025 11:00 AM,22-Sep-2025 06:55 PM,04-Oct-2025 05:30 PM,22-Sep-2025 06:55 PM ,03-Oct-2025 05:30 PM ,22-Sep-2025 06:55 PM,04-Oct-2025 05:30 PM,23-Oct-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"Chief Construction Engineer, R.W.Circle, BAM,","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",Construction of Bridge over Local Nallah on PWD road to Jamujhola road in the District of Ganjam under Setu Bandhana Yojana (SBY) for the year 2024-25 (Span 5 x 10.77m),Construction of Bridge over local nallah on PWD Road to Jamujhola road in the District of Ganjam under SBY for the year 2024-25 (Span 5x 10.77m),NA ,NA ,"3,87,42,831",Civil Works - Bridges,NA ,Tender,90.0,365.0,Ganjam,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM,",No ,No,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/25-2025-26/BPR,2025_CERWI_118394_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Lopamudra Dalai,01-Nov-2025 01:06 PM,finsummary_553430.pdf (617.43 KB),CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_118394_1,Online Tender/25-2025-26/BPR,Construction of Bridge over Local Nallah on PWD road to Jamujhola road in the District of Ganjam under Setu Bandhana Yojana (SBY) for the year 2024-25 (Span 5 x 10.77m),Technical,Documents to be verified,Swagatika Rauto,08-Oct-2025 06:47 PM,technical_553430.pdf,1.0,3103942.0,Krushna Prasad Swain,INR,"32,935,281",1,3108930,Abhisek Pujari,04-Oct-2025 12:02 PM,Rejected-AOC,1st Lowest,27-Nov-2025 11:57 AM,17-Nov-2025,"INR 32,935,281",365.0,Lopamudra Dalai,27-Nov-2025 11:57 AM,Jamujholo.pdf (563.00 KB),Finance,Documents to be verified,Swagatika Rauto,23-Oct-2025 04:22 PM,finance_553430.pdf,BOQ Comparative Chart,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Asst Engineer, R.W.Circle,BAM P.A. to CCE, R.W.Circle, BAM SE, R.W.Divn-II, Gm, BAM",Swagatika Rauto,17-Oct-2025 06:21 PM,23-Oct-2025 11:00 AM,techsummary_553430.pdf (316.05 KB),AOC
2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3108702,BIRUPAKHYA CHOUDHURY,04-Oct-2025 12:41 PM,Rejected-AOC,1st Lowest,27-Nov-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3102302,Jayadeep Kumar Gouda,29-Sep-2025 12:19 AM,Rejected-Technical,DIS-QUALIFIED,17-Oct-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3107473,JYOTIRAJ SAHU,03-Oct-2025 03:20 PM,Rejected-AOC,1st Lowest,27-Nov-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3103942,Krushna Prasad Swain,02-Oct-2025 01:43 PM,Accepted-AOC,Successful bidders after lottery system,27-Nov-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3109233,M/S P C Construction,04-Oct-2025 04:02 PM,Rejected-AOC,1st Lowest,27-Nov-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3108149,PURNA CHANDRA CHAUDHURY,03-Oct-2025 07:52 PM,Rejected-AOC,1st Lowest,27-Nov-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3101718,Srinivas Mohapatra,04-Oct-2025 11:36 AM,Rejected-AOC,1st Lowest,27-Nov-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3107910,Subrat Kumar Patro,03-Oct-2025 05:28 PM,Rejected-AOC,1st Lowest,27-Nov-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3108590,Umakanta Sahu,04-Oct-2025 03:06 PM,Rejected-AOC,1st Lowest,27-Nov-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,AOC
