S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,"1,95,850",Yes,percentage,1.0%,Nil,Nil,23-May-2025 11:00 AM,12-Jun-2025 11:00 AM,23-May-2025 11:00 AM,11-Jun-2025 05:00 PM,23-May-2025 11:00 AM ,10-Jun-2025 05:00 PM ,23-May-2025 11:00 AM,11-Jun-2025 05:00 PM,23-Jul-2025 11:00 AM,Periodical Renewal work of 5 year Post DLP PMGSY Roads for financial year 2024-25 under State Budget for Package No.PM-MOH-B5/2024-25,Periodical Renewal work of 5 year Post DLP PMGSY Roads for financial year 2024-25 under State Budget for Package No.PM-MOH-B5/2024-25,Please refer Tender documents. ,NA ,"1,95,85,000",Civil Works - Roads,NA ,Tender,90.0,120.0,Mohana,761015.0,NA ,NA ,NA ,Rayagada,No ,No,CE RW I||RWCIRCLE-RAYAGADA,NCB-09/RWCRGDA/2025-26,2025_CERWI_113350_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"CCE,RWC,Rayagada","O/O of the Chief Construction Engineer,Rural Works Circle,Rayagada, At-Hatipathar Road near Raniguda Farm",1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,License,Annual Turnover,experience,machinery and other papers as per DTCN",AOC,"Chief Construction Engineer,RW Circle Rayagada",Internal,"CCE Rayagada, Executive Engineer RW Division Mohana, DAO Mohana, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,13-Nov-2025 05:00 PM,finsummary_540827.pdf (1525.09 KB),Technical,Tender documents verified,Sujata Hembram,14-Jun-2025 11:13 AM,,CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_113350_5,NCB-09/RWCRGDA/2025-26,Periodical Renewal work of 5 year Post DLP PMGSY Roads for financial year 2024-25 under State Budget for Package No.PM-MOH-B5/2024-25,1.0,2961086.0,M/s GHANASHYAM CONSTRUCTIONS,INR,"16,647,455.32",13-Nov-2025,"INR 19,582,937.67",120.0,Binod Behari Das,13-Nov-2025 05:40 PM,WorkOrder.PDF (1525.00 KB),1,2960218,ALLAPA AKHIL KUMAR,10-Jun-2025 06:58 PM,Rejected-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,Finance,final bids to be opened,Sujata Hembram,24-Jul-2025 01:42 PM,finance_540827.pdf,BOQ Comparative Chart,"DAO, Estimator, Superintending Engineer of RW Division, Mohana and CCE RW Circle, Rayagada",Internal,,Binod Behari Das,18-Jul-2025 07:23 PM,23-Jul-2025 11:00 AM,techsummary_540827.pdf (3474.50 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2961648,B LAXMI NARYANA,11-Jun-2025 04:07 PM,Rejected-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2960914,CHANDAN PRASAD PADHY,11-Jun-2025 01:57 PM,Rejected-Technical,"DISQUALIFIED due to non furnishing similar nature of works and an undertaking for Hot Mix Plant establishment within 60 Km radius, vide Clause No.12 ii of DTCN and Note 07 of ANNEXURE 1 OF SCHUDLE-C of DTCN respectively..",18-Jul-2025 07:23 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2961530,G. Monali Dora,11-Jun-2025 03:50 PM,Rejected-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2952786,GOURINATH MOHAPATRA,05-Jun-2025 04:33 PM,Rejected-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2955613,KISHOR CHANDRA SIBALA,10-Jun-2025 02:11 PM,Rejected-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2959088,KRISHNA CHANDRA NIMALU,11-Jun-2025 03:51 PM,Rejected-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2960574,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,11-Jun-2025 12:41 AM,Rejected-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2961086,M/s GHANASHYAM CONSTRUCTIONS,11-Jun-2025 11:42 AM,Accepted-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2960248,M/s SHREE INFRA AND CO,10-Jun-2025 07:04 PM,Rejected-AOC,Work awarded to MS Ghanashyam constructions,13-Nov-2025 05:40 PM,,,,,,,,,,,,,,AOC
