S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,2887786.0,MS Shree Shyam and Co,INR,"1,106,595",Finance,9 Nos. out of 11 Nos.,CHANDRAMA PING,16-Oct-2025 08:07 AM,finance_536314.pdf,BOQ Comparative Chart,EE,Internal,EE and others,CHANDRAMA PING,25-Nov-2025 08:34 AM,finsummary_536314.pdf (6684.91 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_112442_22,OLIC-SNP-02/2025-26,Revival of defunct CHASAGOTHA-II L.I. Project under SONEPUR Block in SUBARNAPUR District (Sate Plan Fund),EE,Internal,EE and others,CHANDRAMA PING,24-Nov-2025 08:13 AM,techsummary_536314.pdf (6684.91 KB),25-Nov-2025,"INR 1,301,723.35",90.0,CHANDRAMA PING,25-Nov-2025 08:38 AM,AOC.pdf (6685.00 KB),Success on Lottery System,1,2887193,Dukhanasana Sethi,22-Apr-2025 12:39 PM,Rejected-Finance,Unsuccess on Lottery System,25-Nov-2025 08:34 AM,AOC,"7,080",0.0,Nil,Nil,No,15-Apr-2025 11:00 AM,23-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,22-Apr-2025 05:00 PM,15-Apr-2025 11:00 AM ,21-Apr-2025 05:00 PM ,15-Apr-2025 11:00 AM,22-Apr-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-02/2025-26,2025_OLIC_112442_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Revival of defunct CHASAGOTHA-II L.I. Project under SONEPUR Block in SUBARNAPUR District (Sate Plan Fund),Revival of defunct CHASAGOTHA-II L.I. Project under SONEPUR Block in SUBARNAPUR District (Sate Plan Fund),Please refer Tender documents. ,NA ,"13,01,723",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Sonepur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,"13,017",Yes,percentage,1.0%,Nil,Nil,"Executive Engineer, L.I. Division, Subarnapur","O/o the Executive Engineer, L.I. Division, Subarnapur",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2891020,GOPAL KUMAR AGRAWAL,22-Apr-2025 01:22 PM,Rejected-Finance,Unsuccess on Lottery System,25-Nov-2025 08:34 AM,AOC,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2889340,KALYANI NANDA,20-Apr-2025 06:39 PM,Rejected-Finance,Unsuccess on Lottery System,25-Nov-2025 08:34 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2889303,MITA NAYAK,20-Apr-2025 12:17 PM,Rejected-Finance,Unsuccess on Lottery System,25-Nov-2025 08:34 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2887786,MS Shree Shyam and Co,19-Apr-2025 01:29 PM,Accepted-AOC,Success on Lottery System,25-Nov-2025 08:38 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2886994,Namita Sahu,21-Apr-2025 01:42 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Rejection due to Section-II, 2.2 (V) as per DTCN",16-Oct-2025 08:07 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2887111,NANDA KISHOR BAGH,20-Apr-2025 01:07 PM,Rejected-Finance,Unsuccess on Lottery System,25-Nov-2025 08:34 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2891082,NANDI KISHOR BARIK,22-Apr-2025 01:16 PM,Rejected-Finance,Unsuccess on Lottery System,25-Nov-2025 08:34 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2886515,RADHAKANTA MAHALIK,18-Apr-2025 06:55 PM,Rejected-Finance,Unsuccess on Lottery System,25-Nov-2025 08:34 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2891361,RENUKA HOTA,22-Apr-2025 02:13 PM,Not Admitted-Fee/PreQual/Technical/Finance,"Others-Rejection due to Section-II, 2.2 (V) as per DTCN",16-Oct-2025 08:07 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2891758,TAPAS KUMAR KHATUA,22-Apr-2025 03:45 PM,Rejected-Finance,Unsuccess on Lottery System,25-Nov-2025 08:34 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
