Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Dhenkanal Municipality,DKL MPLTY/04 /2025-26,2025_ORULB_115766_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,21-Jul-2025 12:00 PM,31-Jul-2025 11:00 AM,21-Jul-2025 12:00 PM,30-Jul-2025 05:00 PM,21-Jul-2025 12:00 PM ,25-Jul-2025 05:30 PM ,21-Jul-2025 12:00 PM,30-Jul-2025 05:00 PM,Constn. of Community Centre at Sarjanga Sahi in ward no. 10,AS PER DTCN,Please refer Tender documents. ,NA ,"9,32,346",Civil Works - Others,NA ,Tender,120.0,90.0,Dhenkanal,759001.0,NA ,NA ,NA ,Dhenkanal Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1.0,ICICI BANK,"9,323",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,Executive Officer,Dhenkanal Municipality,AOC,CHAIRPERSON,Internal,"EO,JE,AEE,AE,ME",ASHWINI KUMAR DAS,06-Nov-2025 12:36 PM,finsummary_546653.pdf (341.94 KB),Municipal Bodies||Dhenkanal Municipality,2025_ORULB_115766_2,DKL MPLTY/04 /2025-26,Constn. of Community Centre at Sarjanga Sahi in ward no. 10,1.0,3016352.0,Rakesh Kumar Mallik,INR,"932,288",Finance,L1 Bidder will finalised after scrutiny of all documents,ASHWINI KUMAR DAS,31-Jul-2025 01:00 PM,,BOQ Comparative Chart,1.0,3016626.0,Pratap Kumar Sahoo,29-Jul-2025 02:17 PM,Rejected-Finance,2nd lowest bidder,06-Nov-2025 12:36 PM,21-Nov-2025,"INR 932,346",90.0,ASHWINI KUMAR DAS,21-Nov-2025 01:13 PM,AOC2JULY2526.pdf (242.00 KB),CHAIRPERSON,Internal,"JJE,AEE,AE,ME,EO",ASHWINI KUMAR DAS,06-Nov-2025 12:17 PM,techsummary_546653.pdf (341.94 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,3016352.0,Rakesh Kumar Mallik,29-Jul-2025 02:02 PM,Accepted-AOC,LOWEST BIDDER,21-Nov-2025 01:13 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
