Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Scan copy of Valid RC GSTN PAN affidavit and other document as per DTCN,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",GMID-II/05/2025-26,2025_CEMIB_117559_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,02-Sep-2025 10:00 AM,12-Sep-2025 11:30 AM,02-Sep-2025 10:00 AM,11-Sep-2025 05:00 PM,NA ,NA ,02-Sep-2025 10:00 AM,11-Sep-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,SE M.I.Division Ganjam II Berhampur,"SE M.I.Division Ganjam II Berhampur, Infront of Depaul School , Engg School Road Berhampur Pin 760010",1.0,ICICI BANK,Improvement to Baghuanalla Dhamanakhola MIP in Beguniapada block under Critical Grant 2025_26,Improvement to Baghuanalla Dhamanakhola MIP in Beguniapada block under Critical Grant 2025_26,Please refer Tender documents. ,NA ,"21,19,000",Civil Works - Others,NA ,Tender,90.0,90.0,SE M.I.Division Ganjam II Berhampur,760010.0,NA ,NA ,NA ,SE M.I.Division Ganjam II Berhampur,No ,No,"21,200",Yes,fixed,,Nil,Nil,AOC,21-Nov-2025,"INR 2,125,211",90.0,Simachala Satapathy,21-Nov-2025 06:05 PM,BaghuanallaDhamanakhola.pdf (307.00 KB),1,3076543,AUROBINDA PRADHAN,11-Sep-2025 03:55 PM,Rejected-AOC,-,21-Nov-2025 06:05 PM,SE MI DIVN GANJAM II BAM,Internal,,Simachala Satapathy,21-Nov-2025 06:01 PM,techsummary_550953.pdf (196.48 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_117559_3,GMID-II/05/2025-26,Improvement to Baghuanalla Dhamanakhola MIP in Beguniapada block under Critical Grant 2025_26,SE MI DIVN GANJAM II BAM,Internal,,Simachala Satapathy,21-Nov-2025 06:03 PM,finsummary_550953.pdf (196.48 KB),Finance,-,SUDHA KIRAN PADHI,20-Sep-2025 01:15 PM,finance_550953.pdf,BOQ Comparative Chart,1.0,3073292.0,GOPINATH GOUDA,INR,"2,125,211",AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3075686,BHAGABAN MANDAL,11-Sep-2025 11:59 AM,Rejected-AOC,-,21-Nov-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3074791,Brundaban Nahak,10-Sep-2025 06:28 PM,Rejected-AOC,-,21-Nov-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3074739,DEEPAK KUMAR PRADHAN,10-Sep-2025 06:05 PM,Rejected-AOC,-,21-Nov-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3076107,GANESH PATRA,11-Sep-2025 01:35 PM,Rejected-AOC,-,21-Nov-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3073292,GOPINATH GOUDA,10-Sep-2025 10:24 AM,Accepted-AOC,winner lottery process,21-Nov-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3073585,KIRAN SWAIN,10-Sep-2025 12:03 PM,Rejected-AOC,-,21-Nov-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3074126,KRUSHNA CHANDRA PANDA,10-Sep-2025 02:31 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others--,20-Sep-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3072638,MAMATA KUMARI SATAPATHY,09-Sep-2025 07:06 PM,Rejected-AOC,-,21-Nov-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3073789,NAMITA PRADHAN,10-Sep-2025 12:54 PM,Rejected-AOC,-,21-Nov-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
