S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3035589.0,GITANJALI PADHAN,INR,"6,644,031",Technical,Technical Evaluation,Jangya Narayan Gouda,23-Sep-2025 07:28 PM,technical_548572.pdf,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,2025_CERWI_116569_1,04/2025-26,Construction of R.I Office -cum- Residence at Sikhpalli under Malkangiri Tahasil Building,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,20-Nov-2025 05:44 PM,finsummary_548572.pdf (273.13 KB),"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,23-Sep-2025 07:32 PM,25-Sep-2025 11:00 AM,techsummary_548572.pdf (751.88 KB),Finance,AOC for Agreement Details,Jangya Narayan Gouda,20-Nov-2025 05:33 PM,finance_548572.pdf,BOQ Comparative Chart,1,3035221,Alok Patra,13-Aug-2025 08:42 PM,Rejected-AOC,Un-Successful,20-Nov-2025 05:53 PM,20-Nov-2025,"INR 6,644,031",270.0,Jangya Narayan Gouda,20-Nov-2025 05:53 PM,AGTRIofficeSikhapalliGitanjaliPradhan.pdf (273.00 KB),AOC for Agreement Details,AOC,"78,200",Yes,fixed,,Nil,Nil,Construction of R.I Office -cum- Residence at Sikhpalli under Malkangiri Tahasil Building,Construction of R.I Office -cum- Residence at Sikhpalli under Malkangiri Tahasil Building,NA ,NA ,"78,15,588",Civil Works - Buildings,NA ,Tender,90.0,270.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, MALKANGIRI",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,04/2025-26,2025_CERWI_116569_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,07-Aug-2025 11:00 AM,16-Aug-2025 11:00 AM,07-Aug-2025 11:00 AM,14-Aug-2025 05:30 PM,07-Aug-2025 11:00 AM ,13-Aug-2025 03:00 PM ,07-Aug-2025 11:00 AM,14-Aug-2025 05:30 PM,25-Sep-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION NO.II, MALKANGIRI",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"PANCARD, GST, CONTRACTOR REGISTRATION, AFFIDAVIT ETC",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3036260,Amit Kumar Baul,14-Aug-2025 05:04 PM,Rejected-AOC,Un-Successful,20-Nov-2025 05:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3035582,Aryan Tawari,14-Aug-2025 11:24 AM,Rejected-AOC,Un-Successful,20-Nov-2025 05:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3035101,BASUDEV RAO,13-Aug-2025 07:11 PM,Rejected-AOC,Un-Successful,20-Nov-2025 05:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3036003,B Sasmita,14-Aug-2025 03:52 PM,Rejected-AOC,Un-Successful,20-Nov-2025 05:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3035040,CHITTA RANJAN SARKAR,13-Aug-2025 06:35 PM,Rejected-AOC,Un-Successful,20-Nov-2025 05:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3035589,GITANJALI PADHAN,14-Aug-2025 03:09 PM,Accepted-AOC,Lottery Winner,20-Nov-2025 05:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3035868,Haripad Majumdar,14-Aug-2025 01:40 PM,Rejected-AOC,Un-Successful,20-Nov-2025 05:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3034589,LARENS PARIDA,13-Aug-2025 01:56 PM,Rejected-AOC,Un-Successful,20-Nov-2025 05:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3035025,Pinninti Sai,13-Aug-2025 09:18 PM,Rejected-Technical,Dis-Qualified due to bidder must secure 80 percent marks in aggregate in support of Machineries,23-Sep-2025 07:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
