S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3046750.0,Binod Kumar Agrawal,INR,"12,460,950.566",Ashoka Kumar Sahoo,Internal,Ashoka Kumar Sahoo,Ashoka Kumar Sahoo,27-Nov-2025 12:39 PM,finsummary_549029.pdf (402.38 KB),Technical,12 Nos. of Bidders,Ashoka Kumar Sahoo,26-Aug-2025 05:09 PM,,CE RW I||RW-CIRCLE-SUNDARGARH,2025_CERWI_116736_1,RWCCESNG-07 of 2025-26,Construction of CC road from Hudukudihi village to Banki village under Babuchipidihi GP of Laikera Block Jharsuguda for the year 2023-24,Finance,12 Nos. of Bidders,Ashoka Kumar Sahoo,22-Sep-2025 05:24 PM,finance_549029.pdf,BOQ Comparative Chart,Ashoka Kumar Sahoo,Internal,Ashoka Kumar Sahoo,Ashoka Kumar Sahoo,18-Sep-2025 06:28 PM,22-Sep-2025 11:00 AM,techsummary_549029.pdf (171.38 KB),1,3046984,AMAN BADHAN,25-Aug-2025 11:14 AM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,27-Nov-2025,"INR 14,658,217.346",180.0,Ashoka Kumar Sahoo,27-Nov-2025 12:44 PM,3741.pdf (826.00 KB),AOC,1.0,ICICI BANK,"1,46,582",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC, GSTIN, PAN, Affidavit etc",CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-07 of 2025-26,2025_CERWI_116736_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,12-Aug-2025 06:00 PM,26-Aug-2025 11:00 AM,12-Aug-2025 06:00 PM,25-Aug-2025 05:00 PM,12-Aug-2025 06:00 PM ,22-Aug-2025 05:00 PM ,12-Aug-2025 06:00 PM,25-Aug-2025 05:00 PM,22-Sep-2025 11:00 AM,Construction of CC road from Hudukudihi village to Banki village under Babuchipidihi GP of Laikera Block Jharsuguda for the year 2023-24,Construction of CC road from Hudukudihi village to Banki village under Babuchipidihi GP of Laikera Block Jharsuguda for the year 2023-24,Please refer Tender documents. ,NA ,"1,46,58,217",Civil Works - Roads,NA ,Tender,90.0,180.0,Jharsuguda,770020.0,NA ,NA ,NA ,"O/O The CCE RW Circle, Sundargarh",No ,No,"CCE RW Circle, Sundargarh","Rural Works Circle, Sundargarh","10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3048006,ANKIT KUMAR BAJAJ,25-Aug-2025 02:14 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"Work in Hand, Work Experience, Turn Over Machinary etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3041939,ARUN KUMAR BHATTACHARYA,19-Aug-2025 10:26 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3046750,Binod Kumar Agrawal,24-Aug-2025 07:08 PM,Accepted-AOC,Successful bidder by lottery,27-Nov-2025 12:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3045303,CHIRAG AGARWAL,23-Aug-2025 11:49 AM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3046979,JAGADAMBA CONSTRUCTION,25-Aug-2025 11:08 AM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3043980,JOGENDRA SAHU,24-Aug-2025 01:30 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3046297,PRAHALLAD MAJHI,25-Aug-2025 12:01 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3046240,PRDIP KUMAR AGRAWAL,25-Aug-2025 03:13 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3048034,SMITA PRIYADARSINI PATEL,25-Aug-2025 03:12 PM,Rejected-Finance,Not Qualified,27-Nov-2025 12:39 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
