S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
1.0,2953021.0,M/S Abirvab Steel Product,INR,"719,930",Finance,Bid opened on dated 12.06.2025 and found that all the bidders have quoted 14.99 percent less than the bid amount.Hence all bidders allowed for further evaluation.,SANJAYA KUMAR NAYAK,16-Jun-2025 04:49 PM,,BOQ Comparative Chart,superintending engineer,Internal,,SANJAYA KUMAR NAYAK,04-Jul-2025 01:19 PM,finsummary_541892.pdf (776.99 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_114117_1,SE-MDB -02(C)/ 2025-26,Mechanical gate work,superintending engineer,Internal,,SANJAYA KUMAR NAYAK,04-Jul-2025 12:58 PM,techsummary_541892.pdf (674.18 KB),16-Aug-2025,"INR 846,876.84",90.0,SANJAYA KUMAR NAYAK,07-Nov-2025 04:20 PM,C.pdf (2854.00 KB),1,2955150,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",07-Jun-2025 01:01 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,"8,500",Yes,fixed,,Nil,Nil,SUPERINTENDING ENGINEER,"O/O THE SE,MECHANICAL DIVISION,BERHAMPUR-760007","4,000",0.0,Nil,Nil,No,Mechanical gate work,"Supply,fabrication and erection of 01 no. of Scouring Sluice gate (Right side scouring sluice gate)and Replacement of 01 no. Scouring Sluice gate(Left side) and 02 no. HR Gates(Well type 01 service and 01 emergency gates) of Gajapati Sagar MIP under",PLEASE REFER TENDER DOCUMENT ,NA ,"8,46,877",Mechanical Works,NA ,Tender,90.0,NA ,"Parlakhemundi,gajapati",761200.0,NA ,NA ,NA ,"O/O THE SE,MECHANICAL DIVISION,BERHAMPUR",No ,No,02-Jun-2025 04:30 PM,12-Jun-2025 01:00 PM,02-Jun-2025 04:30 PM,11-Jun-2025 05:30 PM,02-Jun-2025 04:30 PM ,09-Jun-2025 05:30 PM ,02-Jun-2025 04:30 PM,11-Jun-2025 05:30 PM,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,SE-MDB -02(C)/ 2025-26,2025_CEMWR_114117_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GSTIN,PAN,AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2949067,BANASHREE BHUYAN,11-Jun-2025 02:16 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2949056,LAXMIDHRA BHUYAN,11-Jun-2025 02:26 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2953021,M/S Abirvab Steel Product,11-Jun-2025 12:15 PM,Accepted-AOC,WINNER IN THE TRANSPARENT LOTTARY PROCESS.,07-Nov-2025 04:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2949312,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,10-Jun-2025 06:12 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2953897,M/S Ashreebad Fabricators,11-Jun-2025 11:11 AM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2949308,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,10-Jun-2025 06:05 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2961265,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,11-Jun-2025 04:53 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2957035,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,09-Jun-2025 09:15 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2955062,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",09-Jun-2025 09:27 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2951951,M/s Pati Enterprises,08-Jun-2025 09:11 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2952803,M/S SAIKRUPA ENTERPRISERS (PROP.UMESH CHANDRA SWAIN),11-Jun-2025 09:47 AM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2955701,M/S SHREE INDUSTRIES,11-Jun-2025 12:08 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2949281,SPS INDUSTRY,10-Jun-2025 07:40 PM,Rejected-Finance,looser in transparent lottery process.,04-Jul-2025 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
