S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3256058.0,NILAKANTHA SAHU,INR,"426,493.75",Municipal Bodies||Bhawanipatna Municipality,2025_ORULB_121362_19,BPM/03/2025-26,Construction of drain at Paik samaj Back side in Ward No. 19,1,3259580,ANMOL AGRAWAL,28-Nov-2025 01:52 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,12-Jan-2026,"INR 426,493.75",30.0,Pramod Kumar Padhi,12-Jan-2026 06:13 PM,pr.pdf (337.00 KB),Finance,Accepted,Pramod Kumar Padhi,29-Nov-2025 11:31 AM,,BOQ Comparative Chart,CP,Internal,,Pramod Kumar Padhi,12-Jan-2026 06:08 PM,finsummary_564731.pdf (337.33 KB),Chairperson,Internal,,Pramod Kumar Padhi,10-Jan-2026 07:58 AM,techsummary_564731.pdf (337.33 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Construction of drain at Paik samaj Back side in Ward No. 19,Construction of drain at Paik samaj Back side in Ward No. 19,Please refer Tender documents. ,NA ,"5,01,698",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,1.0,ICICI BANK,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",17-Nov-2025 10:00 AM,28-Nov-2025 05:00 PM,17-Nov-2025 10:00 AM,28-Nov-2025 04:00 PM,NA ,NA ,17-Nov-2025 10:00 AM,28-Nov-2025 04:00 PM,"5,100",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhawanipatna Municipality,BPM/03/2025-26,2025_ORULB_121362_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,3263098,BHUJABALA PATEL,28-Nov-2025 02:30 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3257200,BIKASH KUMAR SAHANI,28-Nov-2025 12:06 AM,Rejected-AOC,l2,12-Jan-2026 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3257087,DEEPAK KUMAR SAHANI,27-Nov-2025 06:22 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3261741,DHANANJAYA MAHANANDA,28-Nov-2025 12:22 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3257848,DHIRENDRA KUMAR PATRA,28-Nov-2025 09:44 AM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3262744,JAJATI KESHARI MOHANTY,28-Nov-2025 02:57 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3250346,JANAKI PUJHARI,25-Nov-2025 08:11 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3259797,LAXMIPRIYA SABAR,27-Nov-2025 05:58 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3256058,NILAKANTHA SAHU,27-Nov-2025 04:42 PM,Accepted-AOC,accepted,12-Jan-2026 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,3256740,PRADEEP KUMAR NAIK,27-Nov-2025 12:48 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,3255546,SARITA SAHU,27-Nov-2025 10:41 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,13,3257874,SHAIKH ABDUL JAHIR,28-Nov-2025 09:53 AM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,14,3256934,SUPRIYA DASH,27-Nov-2025 06:40 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,15,3255440,UDAYANATH CHHATRIA,26-Nov-2025 11:17 PM,Rejected-Finance,L3,12-Jan-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
