Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
02-Jan-2026,"INR 499,301",30.0,Dipika Majhi,11-Jun-2026 04:59 AM,8324.pdf (1805.00 KB),S/R to Uttarsasan to Alando Road RD from 4/00 km to 4/150 km Road for the year 2025-26,1.0,3154357.0,AMARESWAR DAS,INR,"499,301",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_119523_41,Tender Online - 04 of 2025-26,S/R to Uttarsasan to Alando Road RD from 4/00 km to 4/150 km Road for the year 2025-26,1,3154854,AJAYA KUMAR BHUYAN,26-Jun-2026 04:59 AM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,Finance,Summary,Dipika Majhi,02-Jan-2026 05:20 PM,finance_556269.pdf,BOQ Comparative Chart,"SE,RW,JSPUR",Internal,,Dipika Majhi,02-Jan-2026 05:30 PM,finsummary_556269.pdf (1804.62 KB),"SE,RW,JSPUR",Internal,,Dipika Majhi,02-Jan-2026 05:59 AM,techsummary_556269.pdf (2538.95 KB),AOC,15-Oct-2025 06:30 PM,29-Oct-2025 11:00 AM,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,16-Oct-2025 09:00 AM ,24-Oct-2025 03:00 PM ,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,S/R to Uttarsasan to Alando Road RD from 4/00 km to 4/150 km Road for the year 2025-26,S/R to Uttarsasan to Alando Road RD from 4/00 km to 4/150 km Road for the year 2025-26,Please refer Tender documents. ,NA ,"5,87,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert, No Relation and affidavit towards Correctness Certificate","5,870",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 04 of 2025-26,2025_CERWI_119523_41,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,","4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,3160413,AKSHAYA KUMAR JENA,27-Oct-2025 05:07 PM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3154357,AMARESWAR DAS,26-Oct-2025 05:00 PM,Accepted-AOC,successful bidder,02-Jan-2026 05:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3157271,ARABINDA SWAIN,27-Oct-2025 09:57 AM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3159859,ARYA KUMAR SUDHIRANJAN,27-Oct-2025 03:44 PM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3161560,BATAKRUSHNA SETHY,27-Oct-2025 10:13 PM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3159262,DEBI PRASAD NAYAK,27-Oct-2025 09:28 AM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3146580,Mahaveer Enterprises,23-Oct-2025 07:33 PM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3147915,M/S SAUMYA RANJAN MALLA,24-Oct-2025 01:26 PM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3151933,NAGENDRA JENA,28-Oct-2025 10:44 AM,Rejected-Technical,L2,02-Jan-2026 05:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
