Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
16-Jan-2026,"INR 3,637,185",150.0,Raghunath Swain,16-Jan-2026 04:49 PM,26.PDF (133.00 KB),"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_120253_26,SEPRD-14/2025-26,Improvement to right bank of Niali Distributary from RD 14.50 Km. to 15.60 Km.,1.0,3201594.0,ANITA SWAIN,INR,"3,637,185",1,3183665,ABHISEK SABUT,05-Nov-2025 12:08 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,Finance,ADMITTED,Kirti Kasturika,14-Nov-2025 01:52 PM,,BOQ Comparative Chart,"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,06-Dec-2025 12:01 PM,finsummary_559719.pdf (199.16 KB),"SE Prachi Division, Bhubaneswar",Internal,,Raghunath Swain,06-Dec-2025 11:56 AM,techsummary_559719.pdf (199.16 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Superintending Engineer prachi division,office of the superintending Engineer prachi divn BBSR,Improvement to right bank of Niali Distributary from RD 14.50 Km. to 15.60 Km.,ROAD WORK,Please refer Tender documents. ,NA ,"42,78,537",Civil Works - Roads,NA ,Tender,90.0,NA ,niali,754004.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,"6,000",0.0,Nil,Nil,No,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-14/2025-26,2025_CELBB_120253_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,01-Nov-2025 10:00 AM,12-Nov-2025 10:30 AM,01-Nov-2025 10:00 AM,11-Nov-2025 05:30 PM,NA ,NA ,01-Nov-2025 10:00 AM,11-Nov-2025 05:30 PM,"42,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,3210596,ABINASH NAYAK,11-Nov-2025 07:33 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3205928,AMIYA KUMAR MOHAPATRA,10-Nov-2025 11:59 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3209934,ANANTA KUMAR JENA,10-Nov-2025 09:36 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3201594,ANITA SWAIN,09-Nov-2025 02:04 PM,Accepted-AOC,Selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3211008,ASHUTOSH BARIK,11-Nov-2025 09:13 AM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3212217,ASWANI KUMAR JENA,11-Nov-2025 12:55 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3206345,BHABANI SANKAR CHOUDHURY,10-Nov-2025 12:39 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3199673,BINAYA KUMAR JENA,08-Nov-2025 10:00 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3213612,BISWAJIT MOHAPATRA,11-Nov-2025 03:47 PM,Rejected-AOC,Not selected through Lottery,16-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
