S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3253470.0,SPS INDUSTRY,INR,"1,042,558.32",Finance,Admitted for further evaluation process.,AMARJIT BEHERA,09-Dec-2025 04:02 PM,finance_566629.pdf,BOQ Comparative Chart,Amarjit Behera,Internal,,AMARJIT BEHERA,09-Dec-2025 05:02 PM,finsummary_566629.pdf (311.70 KB),"Chief Engineer Mech - WR Bhubaneswar||SE, Mechanical, MIP, Hirakud||EE, Mech Divn, Ambaguda",2025_CEMWR_121874_1,ACEMC/MDHKD-2/2025-26,"Fabrication, Supply and Erection of 4Nos. Scouring Sluice Gates and its accessories of Gurla Check Dam in Bamra Block under Minor Irrigation Division, Sambalpur for the year 2025-26.",Amarjit Behera,Internal,"1.Er. Ajit Tirkey,JEM,2.Er. Sasmita Barik, JEM, 3.Er. Prabina Kumar Gouda, Asst. to ACEM, 4.Dasaratha Hembram, SEM, 5.Amarjit Behera, ACEM",AMARJIT BEHERA,09-Dec-2025 04:45 PM,techsummary_566629.pdf (311.70 KB),1,3262535,ABHISHEK CHEJARA,03-Dec-2025 06:31 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,16-Dec-2025,"INR 1,042,558.32",60.0,AMARJIT BEHERA,21-Jan-2026 12:27 PM,AOCGurla.pdf (2102.00 KB),AOC,25-Nov-2025 10:00 AM,05-Dec-2025 11:30 AM,25-Nov-2025 10:00 AM,04-Dec-2025 05:30 PM,25-Nov-2025 10:00 AM ,04-Dec-2025 05:30 PM ,25-Nov-2025 10:00 AM,04-Dec-2025 05:30 PM,"6,000",0.0,Nil,Nil,No,"Chief Engineer Mech - WR Bhubaneswar||SE, Mechanical, MIP, Hirakud||EE, Mech Divn, Ambaguda",ACEMC/MDHKD-2/2025-26,2025_CEMWR_121874_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, EPF, ESI AND ALL OTHER DOCUMENTS AS PER DTCN","12,300",No,fixed,,Nil,Nil,Additional Chief Engineer,"O/o The ACE, Mechanical Circle, Hirakud",1.0,ICICI BANK,"Fabrication, Supply and Erection of 4Nos. Scouring Sluice Gates and its accessories of Gurla Check Dam in Bamra Block under Minor Irrigation Division, Sambalpur for the year 2025-26.","Fabrication, Supply and Erection of 4Nos. Scouring Sluice Gates and its accessories of Gurla Check Dam in Bamra Block under Minor Irrigation Division, Sambalpur for the year 2025-26.",Please refer Tender documents. ,NA ,,Mechanical Works,NA ,Tender,90.0,60.0,Bamra,768221.0,NA ,NA ,NA ,"O/o The ACE, Mechanical Circle, Hirakud",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3272497,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",02-Dec-2025 06:40 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3277671,DASH ENTERPRISERS PROP.RAJEEB LOCHAN DASH,04-Dec-2025 12:57 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3273856,LAXMIDHRA BHUYAN,04-Dec-2025 01:29 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3253521,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,03-Dec-2025 06:09 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3253551,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,03-Dec-2025 06:04 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3278116,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,04-Dec-2025 01:08 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3272763,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",02-Dec-2025 07:50 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3278237,RENUBALA DASH,04-Dec-2025 01:30 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3275203,SATYANANDA PANIGRAHI,03-Dec-2025 03:30 PM,Rejected-AOC,not qualified in the lottery process.,21-Jan-2026 12:28 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
