S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3230037.0,HRUSIKESH MOHAPATRA,INR,"5,084,590.44","Executive Engineer, Junior Engineer (Estimator), Divisional Accounts Officer",Internal,,Prasanna Kumar Pattanaik,08-Jan-2026 07:47 PM,finsummary_562381.pdf (341.04 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_120895_1,EERWRGD Online 06 2025 26,Maintenance to Paikadakulguda Dukkum road in BCuttack Block for the year 2025 26,Technical,Tender Documents to be verified,Sujata Hembram,22-Nov-2025 06:57 PM,,Finance,Documents are verified and Bid accepted for further tender process,Prasanna Kumar Pattanaik,08-Jan-2026 07:41 PM,finance_562381.pdf,BOQ Comparative Chart,"DAO, Estimator, Executive Engineer",Internal,,Prasanna Kumar Pattanaik,06-Dec-2025 06:29 PM,06-Dec-2025 06:45 PM,techsummary_562381.pdf (570.66 KB),1,3223062,Akhyaya Kumar Sahu,14-Nov-2025 01:26 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,08-Jan-2026,"INR 5,084,590.44",60.0,Prasanna Kumar Pattanaik,08-Jan-2026 07:51 PM,hk2.pdf (483.00 KB),AOC,"59,820",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Maintenance to Paikadakulguda Dukkum road in BCuttack Block for the year 2025 26,Maintenance to Paikadakulguda Dukkum road in BCuttack Block for the year 2025 26,NA ,NA ,"59,82,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,Executive Engineer,"RURAL WORKS DIVISION, RAYAGADA",CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 06 2025 26,2025_CERWI_120895_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC and other papers as per DTCN,07-Nov-2025 09:00 AM,18-Nov-2025 11:00 AM,07-Nov-2025 09:00 AM,17-Nov-2025 05:00 PM,07-Nov-2025 09:00 AM ,15-Nov-2025 05:00 PM ,07-Nov-2025 09:00 AM,17-Nov-2025 05:00 PM,06-Dec-2025 06:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3233029,Ananga Nag,17-Nov-2025 04:48 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3205321,ARUN KUMAR NAYAK,15-Nov-2025 08:18 AM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3225724,BIKASH SENAPATI,14-Nov-2025 07:18 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3230091,BODEPU SONIA,16-Nov-2025 08:11 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3229362,CHANDRA SEKHAR SAHUKAR,16-Nov-2025 02:00 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3226451,DEVENDRA BISOI,15-Nov-2025 09:06 AM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3230037,HRUSIKESH MOHAPATRA,17-Nov-2025 03:31 PM,Accepted-AOC,Successful bidder as per the Transparent Lottery. Deposited APSD and balance ISD Amounts,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3218909,JULLY BEHERA,13-Nov-2025 12:35 PM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3228892,KARAKARIA GAJENDRA,16-Nov-2025 11:24 AM,Rejected-AOC,Un-successful bidder as per the Transparent Lottery,08-Jan-2026 07:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
