EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"22,934",Yes,percentage,1.0%,Block Development Officer,Rairakhol,Construction of GPLF Office Building with Market Complex at Mochibahal GP,Construction of GPLF Office Building with Market Complex at Mochibahal GP,Please refer Tender documents. ,NA ,"22,93,411",Civil Works - Buildings,NA ,Tender,90.0,NA ,Mochibahal GP,768106.0,NA ,NA ,NA ,"Panchayat Samiti, Rairakhol",No ,No,Block Development Officer,"Panchayat Samiti, Rairakhol",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Sambalpur||RAIRAKHOL Block,P.S/RAIR/SBP/DEV/01/2025-26,2025_PRRAI_117302_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,1.0,BG - Bank Guarantee,25-Aug-2025 12:00 PM,10-Oct-2025 11:00 AM,25-Aug-2025 12:00 PM,22-Sep-2025 05:00 PM,NA ,NA ,25-Aug-2025 12:00 PM,22-Sep-2025 05:00 PM,1.0,Date corrigendum,Date,,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"6,000",Block Development Officer,Rairakhol,No,AOC,Rajendra Narayan Senapati,Internal,"Supriya Biswal, khirabdhi Tanaya Padhy, Sanghamitra Seth, Kodanda Pradhan, Tikun Kishan, Indramani Munda, Sudhanshu Sekhar Singh, Debabrata Behera",Rajendra Narayan Senapati,08-Jan-2026 06:24 PM,finsummary_550394.pdf (86.64 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Sambalpur||RAIRAKHOL Block,2025_PRRAI_117302_1,P.S/RAIR/SBP/DEV/01/2025-26,Construction of GPLF Office Building with Market Complex at Mochibahal GP,1.0,3087987.0,DEBI PRASAD MOHARANA,INR,"2,291,117",Finance,All the 11 nos of BOQ Admitted,Rajendra Narayan Senapati,15-Oct-2025 02:09 PM,finance_550394.pdf,BOQ Comparative Chart,08-Jan-2026,"INR 2,291,117",120.0,Rajendra Narayan Senapati,08-Jan-2026 07:25 PM,GPLFMOCHIBAHAL.pdf (139.00 KB),Debiprasad Moharana selected through Transparent Lottery Process and done Agreement on Dtd.16-12-2025,1,3092582,ANANDA MAJHI,21-Sep-2025 05:29 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,Rajendra Narayan Senapati,Internal,"BDO, Addl EO (Tech), AEE, AE, BFO, JE, CP, SO, SRA, JRA",Rajendra Narayan Senapati,23-Nov-2025 11:51 AM,techsummary_550394.pdf (883.76 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TD- Term Deposit,,,,,,,,,,,,,,,.pdf,DTCN,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3091355,BHIKARI CHARAN PRADHAN,20-Sep-2025 07:49 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3093232,BIBHUTI BHUSAN PRADHAN,22-Sep-2025 12:01 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3087987,DEBI PRASAD MOHARANA,19-Sep-2025 01:00 PM,Accepted-AOC,Accepted through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3087236,DINESH PRADHAN,18-Sep-2025 10:25 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3095326,M/s PRATEEK CONSTRUCTIONS,22-Sep-2025 04:28 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3085813,PUSPANJALI DEHURI,18-Sep-2025 09:26 AM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3091325,SAROJ KUMAR MIRDHA,20-Sep-2025 07:46 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3082709,SATYANARAYAN PRADHAN,16-Sep-2025 10:17 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3087010,SUSANTA KUMAR BEHERA,18-Sep-2025 07:52 PM,Rejected-AOC,Rejected through transparent lottery system,08-Jan-2026 07:25 PM,,,,,,,AOC
