S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Online TCN-03/2025-26,Other,,1.0,ICICI BANK,"Tikiriaguda to Chhatarla_Road_ PMC, SC in stretches_2/000 to 3/920","Tikiriaguda to Chhatarla_Road_ PMC, SC in stretches_2/000 to 3/920",NA ,NA ,"5,97,560",Civil Works - Roads,NA ,Tender,90.0,60.0,Koraput,764001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, JEYPORE",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,Online-03/2025-26,2025_CERWI_122672_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION, JEYPORE","5,976",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN, TCN, PAN, GST, Affidavit, License ect",06-Dec-2025 10:00 AM,13-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,06-Dec-2025 10:00 AM ,11-Dec-2025 01:30 PM ,06-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,AOC,CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,2025_CERWI_122672_1,Online-03/2025-26,"Tikiriaguda to Chhatarla_Road_ PMC, SC in stretches_2/000 to 3/920",EE,Internal,,Jelin Sheela Kerkatta,30-Jan-2026 06:32 PM,finsummary_569764.pdf (1478.67 KB),Finance,Tender opened,Debashis Mandal,13-Dec-2025 01:42 PM,,BOQ Comparative Chart,1.0,3297563.0,MANORANJAN BARAD,INR,"507,986",30-Jan-2026,"INR 507,986",60.0,Jelin Sheela Kerkatta,30-Jan-2026 06:35 PM,wocsTikiriaguda.pdf (1479.00 KB),Manoranjan Barad,1,3296641,AKASH BISSOI,12-Dec-2025 01:10 AM,Rejected-Finance,9,30-Jan-2026 06:32 PM,EE,Internal,,Jelin Sheela Kerkatta,30-Jan-2026 06:26 PM,techsummary_569764.pdf (1478.67 KB),AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3296995,ANUKULA CHANDRA PATTNAIK,12-Dec-2025 12:19 PM,Rejected-Finance,10,30-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3298112,CHHANDA CHARAN HARIJAN,12-Dec-2025 04:17 PM,Rejected-Finance,14,30-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3295197,CHINMAYA RANJAN SAHU,12-Dec-2025 12:22 PM,Rejected-Finance,4,30-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3296622,LAXMI NARAYAN BISSOI,12-Dec-2025 12:28 AM,Rejected-Finance,8,30-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3297563,MANORANJAN BARAD,12-Dec-2025 01:32 PM,Accepted-AOC,Successful,30-Jan-2026 06:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3295362,M.BHAGYA LAXMI,11-Dec-2025 02:09 PM,Rejected-Finance,5,30-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3296196,MIHIR KUMAR SADANGI,11-Dec-2025 08:06 PM,Rejected-Finance,6,30-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3298208,M/s Debendra Harijan,12-Dec-2025 04:40 PM,Rejected-Finance,15,30-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3296261,PADMAN BISOI,11-Dec-2025 09:58 PM,Rejected-Finance,7,30-Jan-2026 06:32 PM,,,,,,,AOC
