Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage
CE-NH||NHCIRCLE-SAMBALPUR||EENH-DIVN-BOLANGIR,2025_CENH_117852_6,01 / EE NH (BGR) of 2025-26,"Providing Expansion Joint,Mastic Asphalt and 40mm BC to Jonk River from Km 65/416 to Km 65/716 and Km 65/716 to Km 66/400 Km of NH-353 for the year 2025-26.",1.0,3117376.0,PIYUSH GUPTA,INR,"8,208,187",SE NH Division Bolangir,Internal,"JE Estimator, EE Estimator and DA NH Division Bolangir",Ashis Kumar Nayak,14-Nov-2025 04:48 PM,15-Nov-2025 10:30 AM,techsummary_552995.pdf (2775.36 KB),SE NH Division Bolangir,Internal,"JE Estimator, EE Estimator and DA NH Division Bolangir",Ashis Kumar Nayak,15-Nov-2025 06:51 PM,finsummary_552995.pdf (3456.89 KB),15-Dec-2025,"INR 8,208,187",60.0,Ashis Kumar Nayak,13-Jan-2026 06:25 PM,T1S3_AOC_20260113_0001.pdf (2551.00 KB),Award Of Contract,Finance,Financial bid of 17 (Seventeen) nos of technically responsive bidders participated in the tender invited for the work were opened for further evaluation.,Ashis Kumar Nayak,15-Nov-2025 06:07 PM,finance_552995.pdf,BOQ Comparative Chart,1,3111107,AHSANULLA KHAN,05-Oct-2025 05:44 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,Technical,17 (Seventeen) nos of bidders participated in the tender for the work. Their documents are opened further evaluation.,Ashis Kumar Nayak,15-Oct-2025 07:47 PM,technical_552995.pdf,AOC,"Providing Expansion Joint,Mastic Asphalt and 40mm BC to Jonk River from Km 65/416 to Km 65/716 and Km 65/716 to Km 66/400 Km of NH-353 for the year 2025-26.",Road work,Please refer tender documents ,NA ,"96,55,555",Civil Works - Bridges,NA ,Tender,90.0,60.0,Khariar Road,766104.0,NA ,NA ,NA ,"O/o EE, NH Division, Bolangir",No ,No,"10,000",0.0,Nil,Nil,No,22-Sep-2025 11:00 AM,10-Oct-2025 11:30 AM,22-Sep-2025 11:00 AM,09-Oct-2025 05:00 PM,NA ,NA ,22-Sep-2025 11:00 AM,09-Oct-2025 05:00 PM,15-Nov-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of tender cost and EMD, Registration Certificate, PAN, GSTIN, etc.","97,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE-NH||NHCIRCLE-SAMBALPUR||EENH-DIVN-BOLANGIR,01 / EE NH (BGR) of 2025-26,2025_CENH_117852_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,4th Corrigendum,Other,,"SE, NH Division, Bolangir","O/o EE, NH Division, Bolangir At-Gandhinagarpada, Bolangir-767001",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3104479,AKARSHAN JHA,01-Oct-2025 02:54 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No relation certificate, affidavit, No litigation",,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3110846,AMAN ULLA KHAN,06-Oct-2025 04:50 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3117385,AMIT KUMAR SAHOO,08-Oct-2025 06:14 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3108196,Balbeer Singh Bains,04-Oct-2025 10:48 AM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3113012,Jitendra Kumar Naik,06-Oct-2025 07:56 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3102404,KL INFRAPROJECTS,29-Sep-2025 06:43 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3110876,MD NOAMAN RAZA KHAN,06-Oct-2025 05:52 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3110724,MOHAMMAD TAHIR KHAN,06-Oct-2025 02:33 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3111193,MOHAMMAD TAYYAB KHAN,06-Oct-2025 01:22 PM,Rejected-AOC,Not Selected through transparent lottery system.,13-Jan-2026 06:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
