Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Superintending Engineer,Internal,"Estimator, Assistant Executive Engineer, DAO, Assistant Engineer.",Manas Kumar Majhi,02-Dec-2025 07:15 PM,techsummary_563119.pdf (814.31 KB),CE Survey and Investigation Odisha||Central Investigation Circle BBSR,2025_CICB_121042_1,SE-MID-03/2025-26,Geotechnical Investigations Drilling Work of Jharpada Irrigation Project,1.0,3235999.0,MECONS INDIA,INR,"3,136,163",1,3241321,ASIAN GEOTECH RESEARCH SERVICES,20-Nov-2025 02:20 PM,Rejected-Finance,You have not selected in transparent lottery on 05.12.2025 at 11.30 AM.,06-Dec-2025 03:32 PM,Finance,The Tender has been opened and found that 10 nos of Bidders have participated in the process,Pradipta Kumar Gochhayat,21-Nov-2025 12:24 PM,finance_563119.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Estimator, DAO, Assistant Executive Engineer, Assistant Engineer",Manas Kumar Majhi,06-Dec-2025 03:32 PM,finsummary_563119.pdf (525.36 KB),30-Dec-2025,"INR 3,136,163",45.0,Manas Kumar Majhi,08-Jan-2026 10:50 AM,workorder.pdf (543.00 KB),AOC,Superintending Engineer,"Udala, Mayurbhanj,757041",CE Survey and Investigation Odisha||Central Investigation Circle BBSR,SE-MID-03/2025-26,2025_CICB_121042_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,"37,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,11-Nov-2025 11:30 AM,21-Nov-2025 11:00 AM,11-Nov-2025 11:30 AM,20-Nov-2025 05:00 PM,NA ,NA ,11-Nov-2025 12:00 PM,20-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Letter of Tech. BiD, PAN, GSTIN, Affidavit, etc.and other documents as per DTCN.",Geotechnical Investigations Drilling Work of Jharpada Irrigation Project,Geotechnical Investigations Drilling Work of 13 Thirteen Nos. Borehole for Sub-surface Exploration Along the Proposed Axis of Jharpada Irrigation Project across River Baitarani and Malda near Basantpur village of Jhumpura Block in Keonjhar District.,Please refer Tender documents. ,NA ,"36,89,169",Mechanical Works,NA ,Tender,90.0,45.0,Basantpur village of Jhumpura Block in Keonjhar Di,758031.0,NA ,NA ,NA ,"Udala, Mayurbhanj",No ,No,AOC
,,,,,,,,,,,,,,,2,3239286,BASANTA KUMAR BEHERA,19-Nov-2025 07:52 PM,Rejected-Technical,Technically Disqualified,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Letter of Financial Bid and BoQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3216416,D N CONSULTANT,20-Nov-2025 01:01 PM,Rejected-Finance,You have not selected in transparent lottery on 05.12.2025 at 11.30 AM.,06-Dec-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3241521,Kreative Planners and Research Private Limited,20-Nov-2025 02:15 PM,Rejected-Technical,Technically Disqualified,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3235999,MECONS INDIA,18-Nov-2025 07:04 PM,Accepted-AOC,He has selected in transparent lottery on 05.12.2025,08-Jan-2026 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3237988,M/S. BECQUEREL INDUSTRIES PVT. LTD.,20-Nov-2025 03:13 PM,Rejected-Technical,Technically Disqualified,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3217481,M/s Utkal Geo Tech Consultants,15-Nov-2025 08:00 PM,Rejected-Technical,Technically Disqualified,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3240331,RLB CONSULTANTS,20-Nov-2025 01:58 PM,Rejected-Finance,You have not selected in transparent lottery on 05.12.2025 at 11.30 AM.,06-Dec-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3238542,S3 CONSULTANTS,20-Nov-2025 02:28 PM,Rejected-Technical,Technically Disqualified,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3223593,Visiontek Consultancy Services Pvt. Ltd.,20-Nov-2025 02:36 PM,Rejected-Finance,You have not selected in transparent lottery on 05.12.2025 at 11.30 AM.,06-Dec-2025 03:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
