Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur",Impvt. to Ampolaba to Mangalpur via Golakapur Dalki Harida Bahali Kantihua Podal Road in the Dist. of Jajpur under MMSY-Impvt. to Existing RD Roads for the year 2024-25.,Construction and Maintenance of for the year 2024-25,Please refer tender documents ,NA ,"5,81,85,765",Civil Works - Roads,NA ,Tender,90.0,270.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-12/25,2025_CERWI_116946_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"5,81,858",Yes,percentage,1.0%,Nil,Nil,16-Aug-2025 02:00 PM,03-Sep-2025 11:00 AM,16-Aug-2025 02:00 PM,02-Sep-2025 05:00 PM,16-Aug-2025 02:00 PM ,01-Sep-2025 02:00 PM ,16-Aug-2025 02:00 PM,02-Sep-2025 05:00 PM,03-Oct-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, GST, EMD PAN,RC,Affidavit regarding correctness",AOC,CCE,Internal,,Nibedita Nayak,17-Jan-2026 12:55 PM,finsummary_549405.pdf (130.96 KB),Technical,06 no of bidders have been participated,Satyajit Dalai,03-Sep-2025 01:30 PM,,CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_116946_2,Tender Online RCK-12/25,Impvt. to Ampolaba to Mangalpur via Golakapur Dalki Harida Bahali Kantihua Podal Road in the Dist. of Jajpur under MMSY-Impvt. to Existing RD Roads for the year 2024-25.,1.0,3044110.0,CHINMAYA CHIRASUNDAR TRIPATHY,INR,"49,463,719.02",17-Jan-2026,"INR 49,463,719.02",270.0,Satyajit Dalai,17-Jan-2026 01:16 PM,ampolaba.pdf (131.00 KB),The work has been awarded to Chinmaya Chirasundar Tripathy.,1,3044110,CHINMAYA CHIRASUNDAR TRIPATHY,01-Sep-2025 11:52 AM,Accepted-AOC,The work has been awarded to Chinmaya Chirasundar Tripathy.,17-Jan-2026 01:16 PM,Finance,05 no of bidders have been participated.,Suchitra Kar,08-Oct-2025 12:45 PM,,BOQ Comparative Chart,CCE,Internal,,Nibedita Nayak,24-Sep-2025 05:45 PM,03-Oct-2025 11:00 AM,techsummary_549405.pdf (1585.38 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour license, Similar nature of work, Work in hand, Annual Turn Over, No relation certificate",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3060527,Harekrushna Sahoo,02-Sep-2025 12:06 PM,Rejected-Finance,Rejected bidder,17-Jan-2026 12:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hireBalance sheet, Bidder Contact address and other documents as per DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3060954,PRAGYAN CONSTRUCTION,02-Sep-2025 12:54 PM,Rejected-Technical,Disqulified due to non-submission of work in hand (format-II) as per clause no. 2.2.2 of instructions to bidders of DTCN.,24-Sep-2025 05:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3061155,PREMSAI CONSTRUCTION,02-Sep-2025 02:06 PM,Rejected-Finance,Rejected bidder,17-Jan-2026 12:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3060728,SMRUTI RANJAN PARIDA,02-Sep-2025 11:37 AM,Rejected-Finance,Rejected bidder,17-Jan-2026 12:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3061205,Tushar Kant Baral,02-Sep-2025 04:15 PM,Rejected-Finance,Rejected bidder,17-Jan-2026 12:55 PM,,,,,,,,,,,,,,AOC
