EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"33,901",Yes,fixed,,Nil,Nil,"Executive Engineer, L.I. Division, Keonjhar","At/Po- Dhrupada, Via- Raisuan, Dist- Keonjhar",01-Nov-2025 10:00 AM,11-Nov-2025 10:00 AM,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,01-Nov-2025 10:00 AM ,06-Nov-2025 05:00 PM ,01-Nov-2025 10:00 AM,10-Nov-2025 05:00 PM,20-Nov-2025 10:00 AM,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,e-Procurement BID ID No. 05 EELID (KJR/2025-26),2025_OLIC_120279_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Installation and energisation of Bhaliadal-IV L.I. Project under Telkoi block in Keonjhar district,Installation and energisation of Bhaliadal-IV L.I. Project under Telkoi block in Keonjhar district,Please refer Tender documents. ,NA ,,Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,Keonjhar,758001.0,NA ,NA ,NA ,"Office of the E.E., L.I. Division, Keonjhar",No ,No,"7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,NIT Corriggendum,Other,,1.0,Fee/PreQual/Technical,.pdf,"PAPER COST,EMD,LICENSE COPY,HT LICENSE,PAN,GSTIN,AFFIDAVIT,JOINT VENTURE AND OTHER AS PER DTCN",AOC,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Keonjhar,2025_OLIC_120279_10,e-Procurement BID ID No. 05 EELID (KJR/2025-26),Installation and energisation of Bhaliadal-IV L.I. Project under Telkoi block in Keonjhar district,Technical,Ten nos. bidder participated in this tender and all are accepted,BADAL CHANDRA CHOUDHURY,19-Nov-2025 12:37 PM,,Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,07-Dec-2025 01:59 PM,finsummary_559617.pdf (547.07 KB),1.0,3203666.0,ASHIRBAD NAYAK,INR,"2,881,959",1,3182153,ANNAPURNA ROUT,05-Nov-2025 11:41 AM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,20-Dec-2025,"INR 2,881,959",90.0,BADAL CHANDRA CHOUDHURY,17-Jan-2026 11:07 AM,P10.pdf (1831.00 KB),Executive Engineer,Internal,,BADAL CHANDRA CHOUDHURY,19-Nov-2025 05:17 PM,20-Nov-2025 10:00 AM,techsummary_559617.pdf (547.07 KB),Finance,Financial bid opened for 10 nos. bidders.,BADAL CHANDRA CHOUDHURY,03-Dec-2025 04:46 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,2.0,Finance,.xls,BILL OF QUANTITIES,AOC,,,,,,,,,,,,,,,,,,,,,2,3197456,ANUP ANURAG SATYAPRAKASH BHUYAN,08-Nov-2025 04:01 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3203666,ASHIRBAD NAYAK,09-Nov-2025 08:50 PM,Accepted-AOC,WO issued,17-Jan-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3183942,Chaitanya Dehuri,09-Nov-2025 06:47 AM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3188232,M/S. SHREE KRISHNA ENGINEERING,07-Nov-2025 08:56 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3196963,ODISHA ELECTRICAL AND CONSTRUCTIONS.,08-Nov-2025 12:49 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3198800,RANJAN KUMAR PANDA,08-Nov-2025 07:14 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3198199,SAGARIKA GIRI,08-Nov-2025 05:22 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3176845,SNEHARANI MAJHI,09-Nov-2025 07:09 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3196996,Surya Engineering and Construction,08-Nov-2025 12:53 PM,Rejected-Finance,Failed in lottery,07-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,,AOC
