Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Document to be verified and under scrutiny,Babina Sahu,09-Nov-2025 05:29 PM,finance_559338.pdf,BOQ Comparative Chart,1.0,3172756.0,ADARSHA KUMAR SADANGI,INR,"3,571,865",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_120250_3,Online Tender/14/SERWD-II/2025-26,S/R NH-16 infront of Golanthara Police Station to Ghadaka nala via Totadapalli for the year 2025-26,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,17-Jan-2026 01:07 PM,finsummary_559338.pdf (2882.22 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,17-Jan-2026 01:03 PM,techsummary_559338.pdf (1195.73 KB),17-Jan-2026,"INR 3,571,865",60.0,Sudipta Senapati,17-Jan-2026 01:12 PM,3GolantharaPoliceStationtoGhadakaWO.pdf (859.00 KB),Work Order,1,3172756,ADARSHA KUMAR SADANGI,01-Nov-2025 05:37 PM,Accepted-AOC,Successful Bidder in Lottery,17-Jan-2026 01:12 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Corrigendum,Other,,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur",28-Oct-2025 05:00 PM,04-Nov-2025 11:00 AM,28-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,28-Oct-2025 05:00 PM ,03-Nov-2025 12:00 PM ,28-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/14/SERWD-II/2025-26,2025_CERWI_120250_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"42,100",Yes,fixed,,Nil,Nil,S/R NH-16 infront of Golanthara Police Station to Ghadaka nala via Totadapalli for the year 2025-26,S/R NH-16 infront of Golanthara Police Station to Ghadaka nala via Totadapalli for the year 2025-26,Please refer Tender documents. ,NA ,"42,02,000",Civil Works - Bridges,NA ,Tender,90.0,60.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3177948,Anil Ranjan Sahu,03-Nov-2025 03:44 PM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,.xls,Bill of Quantity,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3174340,DEBASIS SAHU,02-Nov-2025 04:35 PM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3171398,DHANU SAHU,01-Nov-2025 11:02 AM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3168727,DIBAKAR PRADHAN,30-Oct-2025 07:29 PM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3171634,KALU CHARAN CHANDA,01-Nov-2025 03:49 PM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3170139,KANHU CHARAN SETHY,31-Oct-2025 04:29 PM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3170678,K. ANIL KUMAR DAS,31-Oct-2025 07:07 PM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3172387,KIRAN KUMAR SAHU,01-Nov-2025 03:38 PM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3170977,MAA KUTHARI ASSOCIATES,01-Nov-2025 09:44 AM,Rejected-AOC,Unsuccessful Bidder,17-Jan-2026 01:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
