EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"33,500",Yes,fixed,,Nil,Nil,Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore",Construction of Sodabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,Construction of Sodabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,Please refer Tender documents. ,NA ,"33,48,606",Civil Works - Water Works,NA ,Tender,90.0,150.0,Bandhugaon,764027.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,"6,000",0.0,Nil,Nil,No,06-Nov-2025 10:00 AM,19-Nov-2025 11:00 AM,06-Nov-2025 10:00 AM,18-Nov-2025 05:30 PM,NA ,NA ,06-Nov-2025 10:00 AM,18-Nov-2025 05:30 PM,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY07/2025-26,2025_CEMIB_120788_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GSTIN,License,affidavit as per DTCN",AOC,01-Jan-2026,"INR 2,846,650",150.0,Nihar Ranjan Behera,01-Jan-2026 01:27 PM,Sodabadiwo.pdf (167.00 KB),Aoc,1,3235940,Aryan Tawari,18-Nov-2025 04:59 PM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,Superintending Engineer,Internal,,Nihar Ranjan Behera,01-Jan-2026 01:15 PM,techsummary_561856.pdf (156.57 KB),Superintending Engineer,Internal,,Nihar Ranjan Behera,01-Jan-2026 01:22 PM,finsummary_561856.pdf (156.57 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_120788_4,MIDJEY07/2025-26,Construction of Sodabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,1.0,3233302.0,LAXMIKANTA BIDIKA,INR,"2,846,650",Finance,On opening the bids total 22 nos. of bids were found to be received online. Hence 22 nos. of bids were found to be valid.,Nihar Ranjan Behera,01-Jan-2026 01:10 PM,finance_561856.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill Of Quantity,AOC,,,,,,,,2,3234832,BABURAM NAYAK,18-Nov-2025 12:33 PM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3233342,BHASKAR BIDIKA,17-Nov-2025 06:10 PM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3233372,BIKRAM HIAL,17-Nov-2025 06:20 PM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3229854,DAITARI BENIA,16-Nov-2025 06:21 PM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3234525,DILIP KUMAR PRADHAN,18-Nov-2025 11:12 AM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3231306,JAGANATH BISOI,17-Nov-2025 12:14 PM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3233409,KAMAL LOCHAN NAIK,17-Nov-2025 06:33 PM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3233302,LAXMIKANTA BIDIKA,17-Nov-2025 05:55 PM,Accepted-AOC,Accept,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3233461,MITHUN BHATRA,17-Nov-2025 06:54 PM,Rejected-AOC,Reject,01-Jan-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
