Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,ok,Nilamadhab Nag,22-Dec-2025 12:00 PM,finance_571573.pdf,BOQ Comparative Chart,1.0,3312886.0,AMIT AGRAWAL,INR,"1,019,691.13",Municipal Bodies||Kuchinda NAC,2025_ORULB_123154_9,KCDA/NAC-6/2025-26,Resto. of road from Angad Ray house to Mauli Bandha road in W.No-2,Pradyut kumar Mohanty,Internal,"B K Sa, N Nag,M Suna",Nilamadhab Nag,31-Dec-2025 04:52 PM,finsummary_571573.pdf (923.50 KB),Pradyut Kumar Mohanty,Internal,"B K Sa, N Nag , M Suna",Nilamadhab Nag,31-Dec-2025 11:22 AM,techsummary_571573.pdf (923.50 KB),1,3312886,AMIT AGRAWAL,19-Dec-2025 10:59 AM,Accepted-AOC,Awarded through lottery system,13-Jan-2026 07:06 PM,13-Jan-2026,"INR 1,019,691.13",30.0,Nilamadhab Nag,13-Jan-2026 07:06 PM,067.pdf (360.00 KB),Work Order Issued,AOC,Executive Officer,"NAC KUCHINDA,AT/PO-KUCHINDA,SAMBALPUR",Resto. of road from Angad Ray house to Mauli Bandha road in W.No-2,Resto. of road from Angad Ray house to Mauli Bandha road in W.No-2,As per DTCN ,NA ,"10,19,691",Civil Works - Roads,NA ,Tender,90.0,30.0,Ward No-2 NAC Kuchinda,768222.0,NA ,NA ,NA ,Office of the NAC Kuchinda,No ,No,"10,197",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,Municipal Bodies||Kuchinda NAC,KCDA/NAC-6/2025-26,2025_ORULB_123154_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,13-Dec-2025 10:00 AM,20-Dec-2025 10:00 AM,13-Dec-2025 10:00 AM,19-Dec-2025 06:30 PM,13-Dec-2025 10:00 AM ,19-Dec-2025 05:30 PM ,13-Dec-2025 10:00 AM,19-Dec-2025 06:30 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3316013,ANANTA NARAYAN BEHERA,19-Dec-2025 08:02 AM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3318025,BIKASH KUMAR NAYAK,19-Dec-2025 06:27 PM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3310320,BINAPANI PATEL,18-Dec-2025 09:56 AM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3315656,BISHAL AGRAWAL,19-Dec-2025 01:28 PM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3314049,GOBINDA SAHOO,19-Dec-2025 06:27 PM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3315946,GOVIND MEHER,19-Dec-2025 05:20 PM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3315723,KAPILASH NAYAK,19-Dec-2025 12:21 AM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3312197,KULAMANI SAHANSIA,18-Dec-2025 09:17 AM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3316878,LAXMI AGRAWAL,19-Dec-2025 01:36 PM,Rejected-AOC,Rejected,13-Jan-2026 07:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
