Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,OK,Gyanendra Padhi,02-Jun-2025 11:51 AM,,BOQ Comparative Chart,1.0,2943661.0,SHISHIR KUMAR BISWAL,INR,"2,362,917.35",Municipal Bodies||Ranpur NAC,2025_ORULB_113679_3,RNP NAC -02 /2025-26,Construction of Paver road from Manoranjan Nayak Res. Towards Bhikari Nayak Res. in ward no-15,CHAIRPERSON,Internal,,Alok Satapathy,18-Dec-2025 02:54 PM,finsummary_540543.pdf (384.26 KB),CHAIRPERSON,Internal,,Alok Satapathy,18-Dec-2025 02:49 PM,techsummary_540543.pdf (307.82 KB),28-Nov-2026,"INR 2,788,244",90.0,Alok Satapathy,01-Jan-2026 11:45 AM,ManoranjanAOC.pdf (324.00 KB),1,2946020,DIPTI RANJAN MOHAPATRA,01-Jun-2025 08:18 AM,Rejected-AOC,lottery,01-Jan-2026 11:45 AM,AOC,21-May-2025 11:30 AM,02-Jun-2025 10:00 AM,21-May-2025 11:30 AM,01-Jun-2025 05:00 PM,NA ,NA ,21-May-2025 11:30 AM,01-Jun-2025 05:00 PM,Construction of Paver road from Manoranjan Nayak Res. Towards Bhikari Nayak Res. in ward no-15,Construction of Paver road from Manoranjan Nayak Res. Towards Bhikari Nayak Res. in ward no-15,Please refer Tender documents. ,NA ,"27,79,576",Civil Works - Others,NA ,Tender,120.0,NA ,NAC RANPUR,752026.0,NA ,NA ,NA ,OFFICE OF THE EXECUTIVE OFFICER RANPUR,No ,No,"27,796",Yes,percentage,1.0%,Nil,Nil,EXECUTIVE OFFICER RANPUR,RANPUR NAC,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Ranpur NAC,RNP NAC -02 /2025-26,2025_ORULB_113679_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2945898,JP CONSTRUCTION,01-Jun-2025 08:43 AM,Rejected-AOC,lottery,01-Jan-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2946373,MANORANJAN NAYAK,01-Jun-2025 12:21 PM,Rejected-AOC,2nd winner,01-Jan-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2946882,SAMEER PATTANAIK,01-Jun-2025 04:59 PM,Rejected-AOC,lottery,01-Jan-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2943661,SHISHIR KUMAR BISWAL,30-May-2025 04:52 PM,Accepted-AOC,1st winner,01-Jan-2026 11:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
