Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"10,000",0.0,Nil,Nil,No,"73,179",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Khurda",EE-DD-KHR-No.05/2025-26,2025_CEDC_120152_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,EE-DD-KHR-01/2025-26 IMPROVEMENT TO ANANTA NAHAKA NALLA ALONG WITH STRUCTURES IN NAYAGRAGH BLOCK,Improvement to Nalla,Please refer Tender documents. ,NA ,"73,17,884",Civil Works - Others,NA ,Tender,90.0,270.0,Nayagarh Block,752069.0,NA ,NA ,NA ,"O/o the E.E, Drainage Division, Khordha",No ,No,27-Oct-2025 11:00 AM,12-Nov-2025 11:00 AM,27-Oct-2025 11:00 AM,11-Nov-2025 05:30 PM,27-Oct-2025 11:00 AM ,03-Nov-2025 05:30 PM ,27-Oct-2025 11:00 AM,11-Nov-2025 05:30 PM,04-Dec-2025 02:30 PM,Executive Engineer,"O/o the E.E, Drainage Division, Khordha",1.0,Fee/PreQual/Technical,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN",AOC,13-Jan-2026,"INR 6,220,932.96",270.0,Purna Chandra Swain,13-Jan-2026 11:57 AM,WOAnantaNalla.pdf (1139.00 KB),Contract Awarded,EE Drainage Division Khurda,Internal,Estimator and DAO Drainage Division Khurda,Purna Chandra Swain,13-Jan-2026 11:54 AM,finsummary_558643.pdf (1138.80 KB),Technical,Uploaded tender documents of all the bidders have been downloaded successfully.,Purna Chandra Swain,12-Nov-2025 04:10 PM,technical_558643.pdf,1,3214319,ANSUMAN BHUYAN,11-Nov-2025 05:18 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 11:54 AM,Finance,Financial bid documents of all the eligible participated bidders have been downloaded successfully.,Purna Chandra Swain,18-Dec-2025 06:28 PM,finance_558643.pdf,BOQ Comparative Chart,1.0,3175988.0,MANAS RANJAN MAJHI,INR,"6,220,932.96","CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar||EE Drainage Divn. Khurda",2025_CEDC_120152_1,EE-DD-KHR-No.05/2025-26,EE-DD-KHR-01/2025-26 IMPROVEMENT TO ANANTA NAHAKA NALLA ALONG WITH STRUCTURES IN NAYAGRAGH BLOCK,"Executive Engineer, Drainage Division, Khordha",Internal,"AEE and DAO, Office of the EE, Drainage Division, Khordha",Purna Chandra Swain,04-Dec-2025 01:51 PM,04-Dec-2025 02:30 PM,techsummary_558643.pdf (1075.56 KB),AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,2,3192887,ARTABANDHU JENA,10-Nov-2025 12:00 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3205063,BISWAJIT BEHERA,10-Nov-2025 09:55 AM,Rejected-Finance,Did not win the lottery,13-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3207189,DURGAMADHAB MAJHI,10-Nov-2025 02:15 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3210687,JITENDRA KUMAR DASH,11-Nov-2025 11:59 AM,Rejected-Finance,Did not win the lottery,13-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3213031,MANAS KUMAR BEHERA,11-Nov-2025 02:11 PM,Rejected-Finance,Did not win the lottery,13-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3175988,MANAS RANJAN MAJHI,03-Nov-2025 09:06 AM,Accepted-AOC,Won the lottery,13-Jan-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3213127,MANAS RANJAN MOHARANA,11-Nov-2025 02:47 PM,Rejected-Technical,Does not satisfy as per DTCN,04-Dec-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3211736,NAMITA SAHOO,11-Nov-2025 11:50 AM,Rejected-Finance,Did not win the lottery,13-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3211508,PARESWAR SASMAL,11-Nov-2025 11:06 AM,Rejected-Finance,Did not win the lottery,13-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
