Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
"Superintending Engineer, PHD Koraput",Internal,"AEEs, SE, DAO and AEE Estimator under this division",Chiranjibi Mahali,08-Jan-2026 04:00 PM,finsummary_564475.pdf (402.17 KB),08-Jan-2026,"INR 6,653,784",180.0,Chiranjibi Mahali,08-Jan-2026 04:05 PM,aoc.pdf (1853.00 KB),AOC,1,3246837,RABINDRA SAHOO,22-Nov-2025 06:35 PM,Rejected-Finance,Lottery not won,08-Jan-2026 04:00 PM,Technical,3nos participating and all documents are downloaded,Chiranjibi Mahali,29-Nov-2025 01:58 PM,technical_564475.pdf,Finance,All bidders are admitted,Chiranjibi Mahali,11-Dec-2025 01:34 PM,finance_564475.pdf,BOQ Comparative Chart,PHEO||PH Circle Bhawanipatna||PH Division Koraput,2025_PHEO_121306_1,NIT No.7 of 2025-26 (2),Improvement of WS SI and SD system of SLN Medical college and Hospital Koraput under State Plan for the year 2025-26,1.0,3243532.0,SUNIL KUMAR MALLICK,INR,"5,571,371","Superintending Engineer, PHD Koraput",Internal,"AEEs, DAO and AEE Estimator under this division",Chiranjibi Mahali,11-Dec-2025 01:10 PM,11-Dec-2025 01:25 PM,techsummary_564475.pdf (838.06 KB),AOC,"Superintending Engineer, PHD Koraput","Superintending Engineer, PHD Koraput","10,000",0.0,Nil,Nil,No,"65,538",Yes,percentage,1.0%,Nil,Nil,PHEO||PH Circle Bhawanipatna||PH Division Koraput,NIT No.7 of 2025-26 (2),2025_PHEO_121306_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Registration Certificate- EMD- Paper cost- GSTIN- PAN- Affidavit, Experience cert. etc. as per DTCN",15-Nov-2025 12:00 PM,29-Nov-2025 11:00 AM,15-Nov-2025 12:00 PM,28-Nov-2025 05:00 PM,15-Nov-2025 12:00 PM ,26-Nov-2025 05:00 PM ,15-Nov-2025 12:00 PM,28-Nov-2025 05:00 PM,11-Dec-2025 01:25 PM,Improvement of WS SI and SD system of SLN Medical college and Hospital Koraput under State Plan for the year 2025-26,Improvement of WS SI and SD system of SLN Medical college and Hospital Koraput under State Plan for the year 2025-26,Please refer Tender documents. ,NA ,"65,53,784",Civil Works - Water Works,NA ,Rate Contract,120.0,180.0,Koraput,764020.0,NA ,NA ,NA ,"Superintending Engineer, PHD Koraput",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,3253519,SITUNU KUMAR SAHU,25-Nov-2025 09:13 PM,Rejected-Finance,Lottery not won,08-Jan-2026 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,3243532,SUNIL KUMAR MALLICK,25-Nov-2025 10:07 AM,Accepted-AOC,AOC,08-Jan-2026 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
