Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
07-Jan-2026,"INR 428,850",30.0,Haripriya Behera,08-Jan-2026 06:50 AM,Maitrapur49AGT.pdf (688.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120111_49,01(Onilne)/RWD/UDALA/2025-26,SR to Maitrapur - Kuliana Road for the year 2025-26.,1.0,3178211.0,KAMALAKANTA DEHURI,INR,"428,850",1,3182647,AKSHAYA MOHANTA,04-Nov-2025 09:36 PM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,Finance,11 Nos of bidders admitted,Haripriya Behera,07-Jan-2026 09:02 AM,,BOQ Comparative Chart,SE RWD Udala,Internal,,Haripriya Behera,07-Jan-2026 09:06 AM,finsummary_558653.pdf (741.56 KB),SE RWD Udala,Internal,,Haripriya Behera,07-Jan-2026 09:03 AM,techsummary_558653.pdf (741.56 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, RC, PAN, GSTIN, Affidavits and other required documents as per DTCN.",1.0,Date Corrigendum,Date,,SE RWD Udala,SE RWD Udala,"4,000",0.0,Nil,Nil,No,28-Oct-2025 04:00 PM,06-Nov-2025 05:30 PM,28-Oct-2025 04:00 PM,06-Nov-2025 05:00 PM,28-Oct-2025 04:00 PM ,06-Nov-2025 03:00 PM ,28-Oct-2025 04:00 PM,06-Nov-2025 05:00 PM,"5,040",Yes,percentage,1.0%,Nil,Nil,SR to Maitrapur - Kuliana Road for the year 2025-26.,SR to Maitrapur - Kuliana Road for the year 2025-26.,Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Roads,NA ,Tender,90.0,30.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,01(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120111_49,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3169275,BABITA PATRA,01-Nov-2025 09:51 AM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Bill of Quantity,2.0,Revised DTCN,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3178554,BISHNU MOHAN MALIK,03-Nov-2025 06:22 PM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3181867,HITESH KUMAR JENA,06-Nov-2025 11:09 AM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3176062,INDUREKHA JENA,06-Nov-2025 04:41 AM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3178211,KAMALAKANTA DEHURI,03-Nov-2025 06:28 PM,Accepted-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3180511,NILAMBAR MOHAPATRA,04-Nov-2025 08:58 PM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3165187,RANJEETA PRUSTY,31-Oct-2025 10:56 AM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3181656,SANTOSH KUMAR JENA,06-Nov-2025 09:59 AM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3182264,SUBHASISH PATI,05-Nov-2025 08:47 AM,Rejected-AOC,L1,08-Jan-2026 06:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
