Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Chhatrapada to kalarajhara Road,Chhatrapada to kalarajhara Road,Please refer tender documents ,NA ,"20,34,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Khordha,751013.0,NA ,NA ,NA ,O/o the SE RWD BBSR,No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,TCN No.13 of 25-26,2025_CERWI_119265_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,10-Oct-2025 05:00 PM,22-Oct-2025 11:00 AM,10-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM,NA ,NA ,10-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM,1.0,ICICI BANK,SE RWD BBSR,O/o the SE RWD BBSR,"20,340",Yes,percentage,1.0%,Nil,Nil,AOC,"SE, RWD, BBSR",Internal,"SrDAO,Estimator",Swarnalata Sutar,17-Dec-2025 06:51 PM,finsummary_555335.pdf (816.87 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119265_9,TCN No.13 of 25-26,Chhatrapada to kalarajhara Road,1.0,3134922.0,BIBHU PRASAD SAHOO,INR,"2,033,625.97",Finance,10 no. of bidders are participated,Shrabani Routray,22-Oct-2025 04:20 PM,,BOQ Comparative Chart,1,3135859,BIBHU PRASAD BEHERA,19-Oct-2025 02:07 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,27-Jan-2026,"INR 2,033,625.97",60.0,Nirmal Chandra Jena,27-Jan-2026 04:46 PM,chhatrapada.pdf (266.00 KB),AoC,"SE, RWD, BBSR",Internal,SrDAOEstimator,Swarnalata Sutar,17-Dec-2025 06:47 PM,techsummary_555335.pdf (816.87 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3134922,BIBHU PRASAD SAHOO,18-Oct-2025 05:06 PM,Accepted-AOC,L1 Bidder,27-Jan-2026 04:47 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3135021,BICHITRA KUMAR SUBUDHI,20-Oct-2025 01:22 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3132662,DIBAKAR PANDA,17-Oct-2025 03:43 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3136375,DIBYA SUPPLIERS,19-Oct-2025 06:42 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3132659,M/s AKSHAYA KUMAR PARIDA,18-Oct-2025 05:04 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3137745,PAPU BEHERA,20-Oct-2025 12:48 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3136374,PRAMESH KUMAR SWAIN,19-Oct-2025 06:33 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3135677,SANDIP KUMAR BARMAN,19-Oct-2025 01:38 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3137842,SUDHIR KUMAR SAHOO,20-Oct-2025 01:07 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 06:51 PM,,,,,,,,,,,,,,AOC
