Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,TCN No.13 of 25-26,2025_CERWI_119265_47,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,13-Oct-2025 06:55 PM,22-Oct-2025 11:00 AM,13-Oct-2025 06:55 PM,20-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 06:55 PM,20-Oct-2025 05:00 PM,"20,340",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,Biswanathpur to Satakabadaroad,Biswanathpur to Satakabadaroad,Please refer tender documents ,NA ,"20,34,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Khordha,751013.0,NA ,NA ,NA ,O/o the SE RWD BBSR,No ,No,SE RWD BBSR,O/o the SE RWD BBSR,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,"SE RW, Bhubaneswar",Internal,"DAO, Estimator and Superintending Engineer",Shrabani Routray,17-Dec-2025 01:18 PM,techsummary_555731.pdf (591.82 KB),"SE RW, Bhubaneswar",Internal,"DAO, Estimator and Superintending Engineer",Shrabani Routray,17-Dec-2025 01:25 PM,finsummary_555731.pdf (591.82 KB),Finance,13 nos of bidder are participated,Sushree Behera,23-Oct-2025 11:27 AM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119265_47,TCN No.13 of 25-26,Biswanathpur to Satakabadaroad,1.0,3134026.0,GANESH CHANDRA PARIDA,INR,"1,728,972",1,3134070,ARTA CHARAN MALLICK,19-Oct-2025 10:54 AM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 01:25 PM,30-Jan-2026,"INR 1,728,972",60.0,Nirmal Chandra Jena,30-Jan-2026 04:35 PM,Biswanathpur.pdf (344.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3133489,BIPIN BIHARI SAHOO,17-Oct-2025 09:33 PM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 01:25 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3135615,DESABANDHU JENA,19-Oct-2025 01:07 PM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 01:25 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3136353,DIPTI RANJAN JENA,19-Oct-2025 06:16 PM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 01:25 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3134026,GANESH CHANDRA PARIDA,18-Oct-2025 12:02 PM,Accepted-AOC,L1 Bidder,30-Jan-2026 04:35 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3132813,KISHORE CHANDRA PRADHAN,17-Oct-2025 04:21 PM,Rejected-Technical,Technically Not Qualified,17-Dec-2025 01:18 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3137611,KKD INFRASTRUCTURE,20-Oct-2025 12:24 PM,Rejected-Technical,Technically Not Qualified,17-Dec-2025 01:18 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3137405,MANGARAJ BARIK,20-Oct-2025 11:54 AM,Rejected-Technical,Technically Not Qualified,17-Dec-2025 01:18 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3137554,NIHAR RANJAN JATTA,20-Oct-2025 12:11 PM,Rejected-Technical,Technically Not Qualified,17-Dec-2025 01:18 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3137749,RAJKISHORE MALLICK,20-Oct-2025 12:48 PM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 01:25 PM,,,,,,,,AOC
