Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
04-Jan-2026,"INR 571,575.47",30.0,Amir Kumar Sethy,04-Jan-2026 12:35 PM,119918_60AOC.pdf (420.00 KB),1.0,3172659.0,AJIT KUMAR SWAIN,INR,"571,575.47",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119918_60,E-TCN No.06 of 2025-26,S/R to Kalajahtia to Faguna (B) Road for the year 2025-26.,1,3172659,AJIT KUMAR SWAIN,01-Nov-2025 05:39 PM,Accepted-AOC,Awarded through lottery vide Agrt No. 130 P1 of 2025-26,04-Jan-2026 12:36 PM,Finance,All documents are downloading and go to next process,Sujata Behera,09-Dec-2025 04:37 PM,finance_557897.pdf,BOQ Comparative Chart,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,04-Jan-2026 12:27 PM,finsummary_557897.pdf (194.71 KB),"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,04-Jan-2026 12:17 PM,techsummary_557897.pdf (194.72 KB),AOC,1.0,Add DTCN and Corrigendum,Other,,S/R to Kalajahtia to Faguna (B) Road for the year 2025-26.,S/R to Kalajahtia to Faguna (B) Road for the year 2025-26.,Please refer Tender documents. ,NA ,"6,72,363",Civil Works - Roads,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the SERW Division-II, Balasore",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN",24-Oct-2025 05:00 PM,04-Nov-2025 11:00 AM,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,24-Oct-2025 05:00 PM ,03-Nov-2025 03:00 PM ,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN No.06 of 2025-26,2025_CERWI_119918_60,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,724",Yes,percentage,1.0%,Nil,Nil,"SERW Division-II, Balasore","O/o the SERW Division-II, Balasore","4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3171565,ANANTA PRASAD BARIK,02-Nov-2025 02:51 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3167508,CHITTA RANJAN MOHAPATRA,30-Oct-2025 12:56 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3172355,DEEPAK KUMAR NAYAK,01-Nov-2025 03:21 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3172958,GHANASHYAM LENKA,01-Nov-2025 06:51 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3173132,GOBINDA CHANDRA SWAIN,01-Nov-2025 07:57 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3163580,JADU SINGH,28-Oct-2025 02:46 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3164904,JYOTSNARANI KANUNGO,31-Oct-2025 12:00 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3169617,LELIN MOHANTY,01-Nov-2025 12:38 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3170731,MANARANJAN DAS,02-Nov-2025 06:43 PM,Rejected-AOC,Rejected,04-Jan-2026 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
